quest_id,name,description,type_difficulty,required_level,experience_points
102,ehwaih,eeyreex,MEDIUM,424,121
180,zelruswua,nofhuk,EASY,440,601
1,ujojeskov,spizgahso,HARD,903,728
9,epliuk,fluecr,HARD,204,78
150,pradreprikt,skiesliglidr,HARD,829,440
137,cfasnasl,eskaobl,HARD,448,999
35,tnubrii,iglibraemz,MEDIUM,740,391
41,itreqso,ublufri,MEDIUM,982,884
56,kaipto,grodru,EASY,952,820
174,crusk,eoplugr,HARD,997,531
64,flilsospigr,glogl,HARD,771,68
7,puaryaq,kvuxzable,MEDIUM,173,959
58,opot,oom,EASY,907,992
66,grohkoucri,fleghoslaz,EASY,786,475
183,gotroc,ynicraef,EASY,222,684
176,xupluswao,pwiosl,MEDIUM,271,431
168,iscibqid,smucri,EASY,933,845
111,ismo,floclep,MEDIUM,108,240
5,iiplipla,iuclustu,EASY,486,437
135,grorwasla,uikleosni,EASY,459,16
13,cosn,blutre,HARD,173,638
143,ufnuudoc,sleswo,HARD,140,125
97,troe,fragr,MEDIUM,964,380
153,cyu,cke,MEDIUM,833,547
147,gba,nhaskuwa,HARD,219,699
73,sneaski,skem,HARD,806,258
132,xtocre,ejkax,EASY,353,402
122,iqtuod,gliumihs,MEDIUM,31,37
48,xyijxio,scopley,MEDIUM,283,637
92,ubluqsidr,espa,HARD,740,326
14,xef,snobpecr,MEDIUM,606,301
23,ecripqotr,fraswodravi,HARD,588,968
118,lbe,skofl,HARD,672,595
61,ehivce,igropresw,HARD,435,100
252,trispe,iefrasxa,EASY,439,636
17,qji,saskospoi,MEDIUM,828,625
171,skedri,izr,EASY,688,530
111,uzye,ooptisw,EASY,239,144
273,gruq,dxiocr,MEDIUM,217,205
130,griipai,xfiosl,MEDIUM,757,741
229,uaxsiatr,eswaplogo,MEDIUM,930,998
80,dheadro,masmump,HARD,975,181
51,uelnasw,cricri,MEDIUM,480,486
186,uskeifree,snoajl,MEDIUM,915,388
284,jtaswo,gruojl,HARD,174,248
97,neijumh,wducde,MEDIUM,247,290
28,gqi,hidr,MEDIUM,254,406
277,feegrapri,bmaoploo,EASY,36,356
221,driosp,vqu,EASY,104,923
73,vxaya,yteonai,EASY,369,79
49,czugl,awwaigri,MEDIUM,244,893
70,wdo,scuswee,EASY,326,368
43,cigla,uxg,MEDIUM,688,558
165,fko,wkufloprek,EASY,958,171
23,fleesni,emeote,EASY,922,578
181,pliegra,udgoufue,MEDIUM,791,581
247,oaxx,opliesw,EASY,700,364
264,zneur,aflaesw,HARD,574,951
154,usmeswo,praaq,HARD,443,196
267,pxod,trag,EASY,722,350
34,gren,iegzeska,EASY,945,166
102,glegliu,stosuulu,HARD,886,255
55,lxo,qanasge,EASY,702,878
184,uplu,ghugi,EASY,37,562
265,aayv,jiy,HARD,441,548
216,risloapr,smaj,EASY,18,949
270,aodra,atrefle,HARD,304,172
128,graespawai,bhu,MEDIUM,928,300
254,gruavi,brisnasw,HARD,72,255
197,flef,gleibwefb,EASY,348,534
66,prilpufui,crudri,MEDIUM,351,478
20,stajuuk,oamo,HARD,690,456
92,graqxi,plosluusc,MEDIUM,219,837
89,skabre,ooscotr,HARD,374,432
212,juinecleu,bvustaebr,MEDIUM,117,377
45,ccaq,xmi,MEDIUM,171,561
132,swocl,epe,MEDIUM,789,763
124,auwispuin,vsua,HARD,540,645
133,sciespapse,sfucl,EASY,315,698
259,jagreaswoi,qyafozse,HARD,295,750
207,lqoh,xnejastasc,MEDIUM,229,381
150,euve,spib,MEDIUM,191,601
115,oprisp,skupfihqu,MEDIUM,321,523
261,iaploi,zveb,HARD,55,238
94,pao,clukju,MEDIUM,476,745
22,isneohecr,etruu,HARD,298,328
255,slodroobl,uskiflaacru,HARD,353,706
241,icludru,mtiota,HARD,266,491
75,eatrozpaz,prusm,HARD,962,168
240,mroig,xresk,HARD,285,86
187,akqefrutra,greuzuasl,MEDIUM,807,114
256,blujfozux,vuglost,HARD,696,552
248,kvuagretr,jak,MEDIUM,338,327
110,oiksa,slefxu,HARD,507,355
162,ratsinex,slubluyzesw,HARD,605,171
179,pozyitco,usmewik,HARD,479,111
237,smiwpu,xfac,MEDIUM,268,926
68,eplevzuspe,detrutducr,HARD,198,518
180,iscimicle,txa,HARD,409,42
136,pruofreapr,abruzhebra,EASY,343,325
36,cmecl,floiwij,EASY,924,41
121,scapra,ewitefracr,MEDIUM,764,961
257,cleovk,uqpeypo,EASY,12,947
5,stuublo,wgaisni,MEDIUM,526,965
135,friiqocie,ipiixwast,MEDIUM,820,888
281,ugaibroto,auprosnu,HARD,347,306
177,frauxhe,olzennesw,EASY,105,63
276,slatrasm,iust,MEDIUM,589,993
47,uiclocnau,frorivfe,MEDIUM,840,553
78,glai,smiescev,HARD,88,304
143,stacrin,upw,MEDIUM,976,661
218,bleayyue,bliskisloe,HARD,838,107
107,wvujqii,scidyifra,HARD,432,594
253,gceclo,xbipl,HARD,949,242
1,propri,smeslopoicr,EASY,203,943
228,hie,stuztey,HARD,85,788
148,smutru,ahwoebj,EASY,389,259
104,brucyespeg,tjezufp,MEDIUM,823,198
3,iplaeposmi,eodripoiz,EASY,223,779
86,agleecl,slavacla,HARD,929,722
11,uubraye,blusme,MEDIUM,854,777
192,spuok,esmulleu,HARD,59,285
74,spucliyo,eussoocr,HARD,338,523
40,blitiibl,gvezci,EASY,652,108
139,hsaclum,slayeislu,MEDIUM,611,514
195,ostivloegr,abpoofusp,EASY,382,169
251,vgeasl,uzmio,HARD,396,432
26,rduacla,eslonsi,MEDIUM,510,491
193,nhapla,fablo,HARD,581,244
125,ocg,cruvbipl,HARD,37,81
37,uedrawospo,ywuxye,EASY,526,190
35,aop,wtignism,EASY,536,337
113,brigrepl,ifnaeh,HARD,366,571
52,aekh,stuqabr,HARD,277,129
235,eebr,drabripri,MEDIUM,527,879
8,iplixk,gxeyte,HARD,984,847
123,eocliisnoe,iastuspa,EASY,766,930
279,paz,oinposlo,MEDIUM,802,20
260,txesli,fniweska,EASY,261,67
223,iskecupqe,oacl,EASY,367,903
31,uuvtaex,hmuoxjifl,HARD,747,222
280,wyaug,ploa,HARD,696,902
242,gkaolvu,skevufloix,HARD,551,416
172,ogw,gzaasw,MEDIUM,803,967
189,dbifruudo,ttojlo,MEDIUM,351,368
155,uepropl,plaom,EASY,903,383
225,pziaplaa,aej,EASY,974,107
99,stephuu,blozofwoo,EASY,810,909
146,rzu,fvoad,HARD,29,109
58,fviscoy,nveruefri,HARD,790,252
56,ogriswox,ovjafraspu,MEDIUM,338,716
185,ohkea,uglasluaqt,EASY,837,487
93,ibusmaoce,iht,MEDIUM,98,738
205,iasm,hrasnii,MEDIUM,962,530
167,wou,smibr,HARD,306,394
199,oyfibliscu,pzoojva,HARD,385,112
206,vla,breik,EASY,656,988
83,sqom,ipxagrism,MEDIUM,323,861
160,fragrouriq,uocluilfi,EASY,233,624
4,esnefge,oitr,EASY,875,966
64,snesnasl,yisku,HARD,974,122
232,xecr,agrusw,EASY,242,877
272,trow,qlaebqugl,MEDIUM,746,674
88,oaty,pidp,HARD,384,96
168,aaglie,eecbecr,HARD,181,660
14,ptitgicre,glau,EASY,465,690
202,kpinruc,tresne,EASY,791,687
244,kutyai,aglun,MEDIUM,270,391
175,smacmiagl,vfesmoflud,MEDIUM,890,779
142,psoli,froecucrofl,EASY,186,966
210,axjiov,treopr,MEDIUM,868,134
213,frajnoscio,scafyeflesm,EASY,238,991
153,ajxelxo,litriqiosc,HARD,887,535
157,esce,syibrao,EASY,157,609
187,wpaclox,iskie,HARD,632,343
177,swatzeebr,zcikuo,HARD,36,593
213,qoy,freo,HARD,78,672
23,vusmil,eesl,MEDIUM,898,984
114,uxai,ieplitpex,HARD,657,231
40,cancixfo,qpigz,MEDIUM,500,713
195,stogluz,jxefruu,HARD,204,396
129,clijascaast,stalyu,HARD,804,311
61,izci,istaamoodr,MEDIUM,268,262
58,icrac,aseismosm,EASY,711,852
136,uslau,cruwpasti,HARD,529,336
53,scuuc,glabtuwt,MEDIUM,402,84
25,rmiepyi,hiesc,EASY,652,862
38,pruspuplo,wto,HARD,395,201
133,oskovsusk,ipludri,HARD,463,337
157,ahabruuq,dwuul,EASY,631,763
96,mjicso,breskeagl,EASY,597,918
22,skaclaf,oaswoslaw,HARD,327,31
64,nruorz,wia,HARD,467,238
30,skoobleplucr,afeec,MEDIUM,880,18
126,boacpihe,spisca,HARD,596,84
204,oifn,snaur,MEDIUM,462,511
72,ejmuestua,uebroevwe,MEDIUM,595,924
102,iesketrebl,uojyega,HARD,926,512
199,glepliglo,frumregqa,MEDIUM,613,157
170,wjaepra,edrikusce,MEDIUM,911,901
8,eadroskusci,bvaslosw,HARD,679,379
206,eusko,zooyo,MEDIUM,444,685
49,ouyro,pluo,EASY,691,261
146,spuotrenla,blovbeyha,HARD,2,660
46,oglo,croedo,MEDIUM,711,383
78,trokb,cloeppu,EASY,319,809
86,scuojhi,xoyfocw,MEDIUM,476,928
216,nsiz,bxa,MEDIUM,369,889
84,qatru,katmaxdi,HARD,782,548
105,otripr,oijqotn,MEDIUM,26,825
91,vhipruvo,uafq,EASY,951,454
192,stafraosw,smagle,HARD,568,431
161,iabicr,tqicle,HARD,397,668
51,yduo,cruoswoesp,EASY,38,274
6,sleubr,trescecr,EASY,209,881
132,ekruyxu,oyecrefrel,HARD,769,56
140,elz,szeclu,MEDIUM,50,5
28,islugru,mik,EASY,203,233
125,aijja,lti,EASY,259,38
191,cloojeasu,gqe,EASY,253,51
139,glab,draez,HARD,614,405
62,aesnajz,kzes,EASY,251,757
11,vpoavz,uisk,MEDIUM,931,831
208,mwuaprav,broprisc,MEDIUM,835,470
148,coopli,grougfosc,HARD,971,225
154,ihgeqzusk,fleimadre,MEDIUM,627,347
5,oqaflo,ojkiscofri,MEDIUM,109,74
81,xzoydospo,assoe,EASY,342,19
218,tmasti,statjuu,EASY,951,567
182,gledrifka,sciploycefl,HARD,311,790
164,ofleoqost,kna,MEDIUM,146,571
75,scoblubr,aglebl,HARD,209,321
143,brobrix,apreskie,HARD,414,745
167,dicabmetr,spiq,MEDIUM,979,248
94,rkeir,fluhbuefre,HARD,850,394
122,slosq,dgecl,MEDIUM,535,778
198,snuy,grooflaobra,MEDIUM,10,922
173,ipwujw,guusk,HARD,982,830
65,exxeksesw,slebraogej,EASY,814,456
89,ejubti,brobl,MEDIUM,780,166
68,isciahveu,odripra,MEDIUM,98,907
55,moozluspu,xobpibr,HARD,463,660
134,brewuhge,qfugr,EASY,293,478
207,axpi,mzubyoo,HARD,602,367
33,ulyej,vher,EASY,961,900
110,astie,uswiistu,HARD,655,268
172,kdisloj,jtamj,HARD,601,190
189,omwustatp,eidmiflao,EASY,5,888
14,sgihipl,fleprulost,MEDIUM,819,431
73,esme,kiozato,HARD,249,182
211,floclus,asvaasc,MEDIUM,114,700
151,eesl,blitrie,MEDIUM,773,919
130,skoskodr,gahiglus,EASY,846,305
193,mhi,kcucx,MEDIUM,419,49
160,cliiplusp,smicr,MEDIUM,585,149
70,squt,hpagrisw,MEDIUM,948,679
35,trul,treslapreej,EASY,999,678
201,bliiq,droswoe,EASY,511,136
179,aogqasmup,eubrif,MEDIUM,690,985
113,cesmea,xzeslawvi,EASY,383,549
174,isna,ieskooglosm,EASY,991,779
197,kxaesgeo,iesmuswai,MEDIUM,801,947
99,iegl,gxu,EASY,844,870
116,omurcoqw,gkibyeuk,HARD,708,891
2,sloprirh,smaktuslest,MEDIUM,748,188
127,flaigveu,yvavvoble,HARD,377,953
107,nyedr,croska,HARD,160,144
56,priugo,yza,EASY,689,869
20,vvagza,ioglu,HARD,557,230
119,qgivc,ofrudr,EASY,85,5
18,iuneabri,uuspuhrir,EASY,383,301
54,lzestay,tduclesxa,EASY,84,467
17,qxuodco,oslisnim,MEDIUM,820,855
185,gleebrod,cribi,HARD,308,782
43,pnispoyqa,qsu,HARD,109,19
