class_id,class_type,class_description
16,Summoner,Specializes in tanking damage and close combat.
112,Warrior,"Skilled in stealth and quick, deadly attacks."
21,Summoner,Offers both damage and support through a variety of spells.
80,Archer,"Skilled in stealth and quick, deadly attacks."
40,Healer,Offers both damage and support through a variety of spells.
109,Summoner,Specializes in tanking damage and close combat.
111,Healer,Specializes in tanking damage and close combat.
105,Rogue,Focuses on healing and buffing teammates.
118,Mage,Offers both damage and support through a variety of spells.
91,Warrior,Excels at long-range damage with various types of arrows.
55,Mage,Summons minions to aid in combat.
2,Mage,Summons minions to aid in combat.
76,Warrior,"Skilled in stealth and quick, deadly attacks."
142,Rogue,"Skilled in stealth and quick, deadly attacks."
75,Archer,Specializes in tanking damage and close combat.
9,Rogue,Excels at long-range damage with various types of arrows.
85,Rogue,Specializes in tanking damage and close combat.
120,Mage,Focuses on healing and buffing teammates.
103,Warrior,Summons minions to aid in combat.
14,Warrior,Summons minions to aid in combat.
92,Rogue,Excels at long-range damage with various types of arrows.
35,Mage,"Skilled in stealth and quick, deadly attacks."
63,Rogue,Focuses on healing and buffing teammates.
30,Summoner,Focuses on healing and buffing teammates.
96,Rogue,Excels at long-range damage with various types of arrows.
44,Archer,"Skilled in stealth and quick, deadly attacks."
115,Healer,Offers both damage and support through a variety of spells.
131,Warrior,Summons minions to aid in combat.
117,Healer,Focuses on healing and buffing teammates.
138,Warrior,Focuses on healing and buffing teammates.
19,Mage,Excels at long-range damage with various types of arrows.
72,Archer,"Skilled in stealth and quick, deadly attacks."
78,Archer,Offers both damage and support through a variety of spells.
102,Warrior,Offers both damage and support through a variety of spells.
42,Warrior,Focuses on healing and buffing teammates.
123,Archer,"Skilled in stealth and quick, deadly attacks."
104,Archer,Offers both damage and support through a variety of spells.
79,Rogue,Excels at long-range damage with various types of arrows.
98,Rogue,Specializes in tanking damage and close combat.
7,Healer,Offers both damage and support through a variety of spells.
131,Summoner,Offers both damage and support through a variety of spells.
214,Warrior,Summons minions to aid in combat.
41,Warrior,Focuses on healing and buffing teammates.
48,Healer,Focuses on healing and buffing teammates.
166,Warrior,Specializes in tanking damage and close combat.
156,Healer,Summons minions to aid in combat.
173,Archer,Excels at long-range damage with various types of arrows.
143,Healer,Summons minions to aid in combat.
82,Warrior,Focuses on healing and buffing teammates.
5,Rogue,Excels at long-range damage with various types of arrows.
205,Summoner,Summons minions to aid in combat.
149,Healer,Offers both damage and support through a variety of spells.
36,Archer,Excels at long-range damage with various types of arrows.
124,Archer,"Skilled in stealth and quick, deadly attacks."
141,Healer,Excels at long-range damage with various types of arrows.
107,Summoner,Offers both damage and support through a variety of spells.
3,Mage,Offers both damage and support through a variety of spells.
211,Warrior,Summons minions to aid in combat.
37,Archer,"Skilled in stealth and quick, deadly attacks."
200,Healer,Excels at long-range damage with various types of arrows.
135,Healer,"Skilled in stealth and quick, deadly attacks."
85,Healer,Specializes in tanking damage and close combat.
12,Mage,"Skilled in stealth and quick, deadly attacks."
178,Archer,Excels at long-range damage with various types of arrows.
192,Warrior,Summons minions to aid in combat.
68,Rogue,"Skilled in stealth and quick, deadly attacks."
183,Mage,Focuses on healing and buffing teammates.
21,Healer,Excels at long-range damage with various types of arrows.
130,Archer,Summons minions to aid in combat.
75,Summoner,Summons minions to aid in combat.
153,Mage,Offers both damage and support through a variety of spells.
30,Warrior,Summons minions to aid in combat.
54,Rogue,Specializes in tanking damage and close combat.
146,Summoner,Summons minions to aid in combat.
47,Healer,Excels at long-range damage with various types of arrows.
127,Archer,"Skilled in stealth and quick, deadly attacks."
51,Warrior,Offers both damage and support through a variety of spells.
110,Rogue,Offers both damage and support through a variety of spells.
202,Mage,Summons minions to aid in combat.
61,Warrior,Excels at long-range damage with various types of arrows.
26,Mage,Specializes in tanking damage and close combat.
66,Warrior,Summons minions to aid in combat.
88,Mage,"Skilled in stealth and quick, deadly attacks."
163,Mage,Excels at long-range damage with various types of arrows.
53,Mage,Focuses on healing and buffing teammates.
102,Archer,Specializes in tanking damage and close combat.
151,Rogue,Excels at long-range damage with various types of arrows.
19,Summoner,Summons minions to aid in combat.
138,Mage,"Skilled in stealth and quick, deadly attacks."
175,Warrior,Focuses on healing and buffing teammates.
65,Archer,Excels at long-range damage with various types of arrows.
70,Warrior,Offers both damage and support through a variety of spells.
133,Archer,"Skilled in stealth and quick, deadly attacks."
112,Archer,Offers both damage and support through a variety of spells.
117,Archer,Excels at long-range damage with various types of arrows.
93,Mage,Excels at long-range damage with various types of arrows.
40,Archer,Focuses on healing and buffing teammates.
33,Healer,Specializes in tanking damage and close combat.
14,Archer,Excels at long-range damage with various types of arrows.
208,Mage,Offers both damage and support through a variety of spells.
57,Healer,Specializes in tanking damage and close combat.
115,Healer,Focuses on healing and buffing teammates.
210,Rogue,Offers both damage and support through a variety of spells.
181,Rogue,Focuses on healing and buffing teammates.
16,Rogue,Offers both damage and support through a variety of spells.
189,Warrior,Excels at long-range damage with various types of arrows.
104,Mage,Focuses on healing and buffing teammates.
44,Warrior,Excels at long-range damage with various types of arrows.
80,Mage,Summons minions to aid in combat.
28,Healer,Excels at long-range damage with various types of arrows.
79,Archer,Excels at long-range damage with various types of arrows.
169,Healer,Specializes in tanking damage and close combat.
122,Mage,Specializes in tanking damage and close combat.
96,Summoner,Offers both damage and support through a variety of spells.
78,Mage,Summons minions to aid in combat.
217,Archer,Focuses on healing and buffing teammates.
195,Mage,Excels at long-range damage with various types of arrows.
10,Rogue,"Skilled in stealth and quick, deadly attacks."
52,Mage,"Skilled in stealth and quick, deadly attacks."
185,Archer,Excels at long-range damage with various types of arrows.
35,Warrior,Specializes in tanking damage and close combat.
63,Archer,Focuses on healing and buffing teammates.
145,Healer,Excels at long-range damage with various types of arrows.
55,Healer,Specializes in tanking damage and close combat.
46,Mage,Excels at long-range damage with various types of arrows.
123,Healer,Summons minions to aid in combat.
121,Archer,Summons minions to aid in combat.
7,Summoner,Focuses on healing and buffing teammates.
90,Rogue,Summons minions to aid in combat.
29,Rogue,Specializes in tanking damage and close combat.
83,Warrior,Specializes in tanking damage and close combat.
6,Healer,Focuses on healing and buffing teammates.
160,Healer,Summons minions to aid in combat.
204,Mage,Offers both damage and support through a variety of spells.
172,Warrior,Summons minions to aid in combat.
186,Mage,Specializes in tanking damage and close combat.
198,Warrior,Offers both damage and support through a variety of spells.
72,Summoner,Specializes in tanking damage and close combat.
24,Archer,Specializes in tanking damage and close combat.
119,Warrior,Excels at long-range damage with various types of arrows.
159,Mage,Offers both damage and support through a variety of spells.
99,Summoner,Offers both damage and support through a variety of spells.
113,Warrior,"Skilled in stealth and quick, deadly attacks."
144,Rogue,Focuses on healing and buffing teammates.
58,Summoner,Excels at long-range damage with various types of arrows.
106,Summoner,Specializes in tanking damage and close combat.
158,Warrior,Summons minions to aid in combat.
