character_id,enemy_id,timestamp,value
370,319,2021-09-12T02,Defeated
69,391,2023-08-11T05,Captured
200,288,2022-01-24T19,Captured
279,378,2021-04-20T06,Escaped
3,348,2023-03-27T23,Captured
342,323,2022-03-07T16,Captured
308,276,2023-04-10T20,Defeated
41,234,2022-01-30T21,Defeated
165,354,2022-08-19T23,Captured
32,261,2023-06-29T20,Escaped
168,233,2022-11-15T06,Defeated
362,362,2023-03-16T13,Defeated
8,323,2023-03-23T14,Captured
106,420,2022-06-02T16,Captured
201,343,2022-10-19T05,Defeated
134,351,2021-06-24T02,Escaped
263,213,2021-08-30T18,Captured
304,365,2022-04-24T10,Defeated
50,323,2022-11-13T08,Captured
18,333,2021-08-10T15,Defeated
244,398,2023-06-17T22,Defeated
171,391,2022-10-05T07,Defeated
45,304,2021-01-10T23,Captured
132,213,2021-03-28T12,Defeated
200,201,2022-09-13T13,Escaped
192,306,2023-09-09T11,Defeated
102,390,2022-12-10T00,Escaped
287,305,2022-06-29T14,Captured
161,357,2023-05-23T07,Defeated
277,385,2022-08-28T19,Captured
292,306,2023-08-16T18,Escaped
335,272,2021-02-10T10,Escaped
25,351,2023-08-27T19,Defeated
269,298,2022-08-02T03,Captured
211,293,2022-08-18T19,Defeated
218,279,2023-01-19T15,Captured
308,279,2021-08-21T00,Defeated
355,212,2021-07-14T23,Captured
169,332,2022-12-15T12,Defeated
164,370,2021-05-01T20,Captured
56,382,2021-11-26T01,Defeated
316,323,2022-05-21T07,Escaped
44,316,2023-02-11T03,Defeated
66,248,2022-02-05T14,Escaped
367,358,2022-10-07T20,Escaped
277,248,2022-07-04T00,Defeated
357,362,2021-04-09T10,Defeated
381,323,2023-05-01T23,Escaped
249,270,2022-09-04T14,Defeated
195,409,2023-03-15T03,Escaped
299,270,2022-12-20T12,Defeated
176,251,2021-12-15T22,Defeated
45,214,2021-11-23T09,Escaped
237,415,2023-04-23T11,Escaped
48,268,2021-12-04T13,Captured
289,362,2023-08-29T00,Defeated
329,248,2022-06-30T11,Defeated
134,226,2023-03-10T19,Captured
183,415,2023-08-02T23,Escaped
207,365,2022-08-12T16,Captured
54,276,2022-11-15T18,Escaped
164,285,2021-03-30T17,Captured
64,301,2023-08-09T16,Escaped
41,278,2022-10-08T00,Escaped
131,264,2023-03-02T06,Escaped
40,391,2021-01-26T10,Escaped
35,319,2022-05-27T17,Defeated
90,390,2021-09-26T16,Defeated
356,202,2021-03-01T00,Defeated
154,282,2022-04-11T18,Captured
74,368,2021-12-19T15,Captured
249,330,2021-08-05T02,Captured
152,208,2021-04-18T01,Escaped
50,280,2021-02-04T00,Captured
281,398,2022-02-21T01,Defeated
373,264,2023-02-04T18,Defeated
51,258,2022-11-16T16,Defeated
84,248,2022-09-23T06,Defeated
197,234,2021-07-01T16,Escaped
342,378,2022-06-12T20,Escaped
144,420,2022-10-08T21,Captured
252,223,2021-10-07T17,Escaped
168,404,2023-06-23T21,Escaped
196,229,2022-10-20T02,Escaped
321,379,2023-06-02T18,Escaped
124,390,2021-05-25T23,Captured
126,210,2022-11-25T18,Defeated
142,234,2022-05-03T22,Captured
217,309,2023-03-20T04,Escaped
34,320,2021-07-30T09,Captured
115,313,2021-02-17T06,Escaped
367,285,2022-12-30T10,Defeated
359,285,2023-01-23T09,Escaped
321,401,2021-05-08T03,Defeated
50,279,2021-04-21T00,Defeated
359,275,2023-03-21T17,Captured
233,251,2022-04-08T09,Captured
58,390,2022-09-29T05,Escaped
45,298,2022-08-28T00,Captured
18,293,2021-09-30T21,Captured
226,288,2023-06-04T07,Defeated
312,369,2021-01-03T21,Captured
289,419,2022-08-09T16,Captured
21,333,2021-11-01T05,Defeated
72,249,2022-10-05T12,Defeated
107,348,2021-09-27T08,Defeated
340,288,2023-09-06T17,Captured
365,313,2022-12-25T03,Escaped
344,358,2021-02-09T07,Captured
259,332,2022-08-24T11,Captured
281,333,2023-01-22T12,Escaped
81,382,2021-04-24T13,Defeated
32,409,2021-09-05T02,Captured
318,304,2023-05-14T14,Defeated
36,369,2023-06-06T07,Defeated
381,232,2021-10-10T13,Captured
32,404,2021-10-15T11,Escaped
321,251,2021-01-09T20,Escaped
269,210,2023-09-03T04,Escaped
107,217,2023-02-24T20,Escaped
260,391,2022-03-13T21,Escaped
66,319,2023-08-21T06,Captured
235,211,2021-06-29T20,Captured
281,358,2022-07-06T18,Captured
347,396,2023-07-29T07,Captured
295,417,2023-06-17T15,Escaped
48,296,2022-04-24T06,Captured
221,285,2021-02-14T18,Escaped
260,328,2022-04-15T19,Escaped
95,361,2021-12-23T17,Defeated
226,414,2021-08-05T00,Defeated
98,370,2022-07-31T21,Captured
244,368,2022-02-08T16,Defeated
41,340,2022-03-22T09,Escaped
337,404,2023-03-02T11,Defeated
207,414,2021-10-24T23,Captured
176,275,2021-12-22T03,Defeated
260,210,2021-05-19T20,Escaped
312,309,2022-10-12T07,Defeated
344,232,2022-12-09T17,Captured
98,354,2021-11-15T18,Escaped
109,326,2023-07-15T21,Escaped
104,245,2023-05-24T18,Defeated
183,208,2022-05-03T05,Captured
72,279,2021-03-18T09,Escaped
50,415,2023-01-11T05,Captured
183,240,2022-03-25T16,Escaped
32,245,2023-09-05T21,Captured
129,275,2022-08-13T20,Defeated
301,261,2021-08-30T09,Captured
366,226,2022-08-17T13,Defeated
217,346,2022-03-30T18,Captured
259,415,2022-06-30T09,Defeated
126,417,2022-01-27T01,Captured
344,351,2022-01-05T02,Defeated
246,212,2021-09-17T16,Escaped
208,217,2021-05-30T13,Captured
150,404,2022-04-19T22,Defeated
126,316,2022-12-05T19,Captured
81,232,2023-01-04T18,Escaped
155,390,2022-10-13T14,Defeated
18,287,2023-01-21T10,Captured
284,396,2021-08-22T03,Escaped
104,404,2021-11-28T09,Escaped
169,312,2023-05-04T20,Escaped
144,270,2021-10-21T16,Defeated
260,313,2022-03-30T03,Captured
217,227,2023-06-16T00,Escaped
340,386,2022-02-17T05,Captured
202,336,2021-08-21T05,Escaped
362,232,2021-04-29T21,Defeated
135,254,2022-12-19T09,Captured
355,197,2022-03-13T17,Defeated
187,282,2023-05-09T08,Defeated
157,240,2022-09-21T14,Captured
344,394,2022-03-09T19,Defeated
322,272,2022-05-24T13,Captured
99,406,2023-01-07T10,Escaped
147,326,2022-06-28T07,Escaped
192,210,2022-10-12T12,Escaped
313,227,2022-08-21T06,Captured
41,333,2021-07-19T08,Defeated
316,336,2021-04-13T16,Escaped
255,269,2023-06-08T05,Captured
284,377,2023-07-28T13,Captured
260,336,2021-10-15T14,Defeated
281,336,2023-01-08T15,Escaped
87,270,2021-06-29T14,Defeated
155,343,2022-01-30T01,Defeated
81,385,2022-08-08T22,Defeated
37,373,2021-04-09T11,Escaped
147,328,2021-10-31T08,Captured
78,212,2023-07-10T10,Escaped
333,287,2022-05-08T15,Escaped
201,326,2022-11-25T08,Escaped
366,242,2021-01-06T16,Escaped
214,287,2021-08-29T18,Captured
310,370,2022-03-30T16,Captured
281,319,2023-02-09T02,Captured
274,269,2023-03-09T07,Defeated
362,285,2021-04-11T10,Escaped
332,368,2021-04-01T18,Captured
173,354,2021-09-09T21,Captured
150,378,2022-10-28T00,Captured
168,242,2022-11-12T09,Defeated
56,414,2022-07-09T23,Captured
282,411,2023-04-16T12,Captured
36,217,2023-01-17T12,Escaped
3,220,2022-01-03T16,Escaped
269,332,2021-04-30T15,Defeated
284,316,2022-02-14T11,Escaped
192,420,2021-04-04T03,Escaped
272,390,2022-12-24T12,Escaped
166,420,2022-11-19T10,Escaped
359,232,2021-04-26T09,Escaped
115,346,2023-07-16T06,Defeated
295,309,2022-09-10T01,Defeated
150,296,2022-06-06T06,Captured
168,226,2023-08-14T10,Captured
81,279,2022-12-16T09,Captured
122,228,2021-06-09T18,Escaped
37,280,2021-07-22T21,Captured
348,285,2021-10-12T18,Captured
182,338,2022-03-15T16,Captured
369,227,2022-10-19T17,Defeated
126,264,2023-03-26T03,Defeated
72,361,2023-06-08T14,Captured
263,280,2022-09-10T02,Defeated
192,419,2021-04-08T16,Captured
218,401,2021-12-28T19,Defeated
350,296,2021-04-07T21,Captured
289,420,2022-10-10T05,Defeated
126,330,2023-01-15T01,Escaped
366,354,2022-11-08T11,Defeated
197,388,2021-03-19T23,Captured
288,340,2021-02-14T19,Defeated
204,332,2023-01-05T16,Captured
316,211,2022-04-12T04,Defeated
249,276,2021-09-23T06,Escaped
200,316,2023-01-15T12,Captured
197,364,2021-06-22T00,Defeated
119,316,2023-02-01T17,Escaped
299,316,2021-07-04T19,Captured
4,417,2023-05-22T21,Defeated
99,377,2022-03-29T17,Captured
127,420,2023-03-29T03,Defeated
126,377,2021-09-10T23,Escaped
301,282,2023-02-23T19,Defeated
165,238,2023-07-17T12,Defeated
313,357,2022-09-17T05,Escaped
344,420,2021-05-25T16,Captured
144,232,2023-07-26T10,Captured
325,419,2021-04-03T17,Escaped
359,205,2022-09-20T23,Captured
312,414,2022-06-11T22,Captured
51,351,2021-03-04T18,Escaped
249,309,2021-02-20T06,Defeated
35,293,2022-06-30T13,Escaped
35,272,2021-06-16T00,Escaped
45,362,2023-02-25T15,Captured
301,301,2023-03-21T07,Escaped
244,258,2021-11-22T18,Defeated
58,419,2022-08-28T23,Defeated
171,351,2021-04-16T01,Defeated
25,290,2022-02-13T12,Captured
244,301,2022-09-06T05,Defeated
318,351,2023-09-01T06,Captured
353,229,2023-07-15T08,Defeated
241,229,2021-12-24T06,Escaped
152,369,2022-06-02T06,Escaped
66,293,2023-08-26T11,Captured
28,386,2022-07-24T17,Defeated
196,240,2021-07-16T00,Defeated
217,365,2021-11-12T06,Defeated
248,301,2021-02-26T03,Escaped
322,370,2021-03-23T03,Escaped
135,404,2022-07-30T03,Defeated
232,211,2022-08-09T08,Escaped
106,414,2023-03-27T01,Escaped
135,296,2023-04-26T05,Defeated
139,362,2023-06-03T18,Captured
312,340,2021-03-07T17,Captured
248,201,2021-12-14T05,Defeated
272,288,2022-04-03T01,Captured
350,288,2023-07-08T19,Escaped
221,233,2022-05-31T00,Captured
381,330,2022-04-30T11,Captured
337,233,2021-01-24T05,Captured
74,228,2023-02-08T22,Captured
301,249,2023-06-27T16,Escaped
244,419,2022-02-16T06,Captured
255,251,2021-12-22T17,Captured
374,356,2022-04-06T00,Escaped
92,296,2021-06-13T19,Escaped
32,202,2021-06-27T14,Escaped
36,278,2023-09-10T20,Escaped
310,268,2023-07-16T09,Defeated
241,220,2022-04-28T16,Captured
119,420,2021-04-09T08,Captured
165,356,2022-08-17T01,Escaped
48,279,2021-03-23T08,Captured
357,279,2021-03-19T01,Escaped
200,270,2023-02-12T21,Captured
226,392,2023-02-16T04,Escaped
144,394,2023-02-06T06,Escaped
211,374,2021-12-30T13,Defeated
284,388,2023-01-20T07,Escaped
284,258,2021-06-10T12,Captured
282,217,2023-01-08T19,Defeated
35,258,2023-03-18T19,Captured
147,197,2022-05-12T08,Escaped
144,290,2023-03-27T17,Defeated
237,404,2022-12-25T02,Captured
192,374,2023-04-07T03,Captured
335,368,2022-01-29T21,Escaped
233,346,2022-12-18T05,Escaped
101,396,2021-07-11T23,Captured
347,340,2022-02-13T06,Escaped
36,272,2022-11-11T08,Escaped
295,205,2022-08-09T15,Captured
93,354,2021-02-19T05,Escaped
161,280,2022-10-24T15,Escaped
106,272,2021-05-16T23,Escaped
296,409,2021-01-25T01,Captured
359,198,2023-06-30T08,Captured
321,406,2021-03-04T12,Captured
292,398,2022-03-21T02,Escaped
124,401,2023-01-13T21,Captured
56,377,2023-01-28T18,Escaped
313,298,2022-09-10T02,Escaped
115,414,2023-09-06T22,Captured
107,377,2021-11-02T22,Escaped
202,351,2021-01-09T02,Captured
35,298,2021-06-13T18,Escaped
374,254,2021-07-02T20,Escaped
119,293,2022-01-13T18,Defeated
201,419,2022-02-22T21,Escaped
90,357,2021-09-26T23,Captured
136,220,2022-07-24T11,Captured
84,391,2021-10-01T19,Escaped
147,279,2021-11-13T08,Escaped
301,364,2023-07-29T03,Captured
307,411,2021-12-28T08,Defeated
147,238,2021-07-11T08,Escaped
299,213,2023-04-21T10,Captured
310,198,2021-11-12T19,Escaped
99,248,2022-06-20T00,Escaped
43,419,2022-12-29T13,Captured
69,336,2021-06-08T05,Defeated
301,361,2022-12-05T17,Defeated
144,358,2022-06-05T22,Defeated
119,338,2022-09-17T09,Escaped
340,394,2022-11-19T18,Defeated
32,269,2021-10-17T02,Defeated
260,417,2022-02-06T05,Defeated
284,406,2021-10-07T10,Defeated
127,370,2022-10-08T04,Captured
313,303,2023-08-01T22,Captured
157,377,2023-07-26T04,Escaped
41,326,2023-03-05T13,Captured
58,228,2021-08-29T06,Captured
45,404,2022-11-09T04,Captured
168,385,2022-07-04T05,Defeated
142,316,2021-02-25T07,Defeated
61,198,2022-08-25T13,Defeated
223,290,2023-08-16T20,Defeated
135,296,2023-01-25T02,Captured
326,220,2021-03-19T15,Escaped
289,223,2022-05-16T22,Captured
284,378,2022-12-26T11,Escaped
183,272,2022-08-05T20,Defeated
183,301,2021-07-26T09,Escaped
221,357,2021-10-01T22,Captured
50,404,2021-03-02T21,Captured
266,276,2022-03-30T04,Defeated
126,305,2021-12-14T05,Defeated
183,301,2021-09-16T18,Escaped
226,288,2021-01-02T00,Captured
102,364,2021-09-25T15,Captured
98,279,2021-08-12T07,Defeated
164,293,2021-02-07T14,Defeated
183,351,2021-08-14T11,Escaped
4,275,2022-03-04T14,Defeated
318,356,2022-01-12T06,Escaped
308,340,2021-01-05T09,Escaped
195,326,2023-02-14T03,Defeated
104,235,2022-05-11T21,Defeated
259,240,2022-04-23T02,Defeated
32,268,2021-09-24T23,Escaped
214,406,2021-04-21T00,Captured
381,276,2022-02-10T14,Defeated
132,370,2021-05-03T11,Captured
244,326,2021-12-09T21,Defeated
204,326,2022-01-01T02,Escaped
226,287,2021-05-03T04,Defeated
200,343,2022-10-24T00,Defeated
329,323,2021-09-23T17,Escaped
332,268,2022-01-09T22,Captured
135,319,2023-07-21T11,Defeated
18,248,2023-04-02T10,Escaped
241,265,2021-05-25T21,Captured
32,304,2022-03-23T22,Escaped
168,242,2023-07-06T22,Escaped
171,245,2021-01-17T05,Defeated
77,197,2021-06-03T12,Defeated
329,233,2023-04-15T17,Escaped
335,411,2021-10-17T04,Escaped
266,258,2021-05-28T06,Defeated
296,214,2022-07-17T06,Escaped
260,391,2021-08-04T16,Defeated
17,305,2022-08-07T19,Defeated
22,305,2021-04-06T08,Escaped
126,213,2021-09-27T17,Escaped
77,379,2022-06-15T06,Captured
22,290,2021-06-27T09,Escaped
356,205,2023-05-04T22,Escaped
192,211,2023-08-09T06,Escaped
204,234,2021-06-10T02,Defeated
347,226,2022-01-08T04,Defeated
74,417,2022-07-03T21,Escaped
240,336,2022-05-23T15,Escaped
166,298,2021-07-09T16,Captured
223,275,2021-11-25T05,Defeated
99,359,2021-07-05T13,Captured
308,385,2022-11-04T23,Captured
101,404,2023-08-13T01,Captured
93,298,2023-09-03T02,Escaped
340,379,2021-02-19T20,Defeated
107,268,2022-07-20T03,Defeated
166,394,2021-07-11T10,Captured
158,370,2021-09-05T18,Escaped
28,208,2022-01-16T01,Captured
119,373,2021-02-02T18,Captured
282,211,2021-03-21T02,Captured
249,296,2022-12-21T05,Defeated
214,377,2023-04-24T12,Escaped
367,214,2022-07-25T04,Captured
266,234,2021-11-16T04,Escaped
359,245,2021-09-18T00,Defeated
192,319,2022-12-08T19,Captured
353,365,2022-02-11T02,Escaped
373,419,2021-09-11T18,Escaped
37,298,2022-06-30T00,Captured
161,319,2022-01-28T21,Captured
204,340,2023-07-19T19,Defeated
201,254,2022-01-25T13,Escaped
106,358,2022-02-07T19,Escaped
214,293,2022-09-28T07,Captured
176,257,2022-09-20T22,Captured
28,312,2021-08-03T14,Defeated
50,198,2022-09-01T01,Captured
310,377,2023-01-13T08,Escaped
337,304,2021-08-28T23,Escaped
263,229,2023-09-04T00,Captured
8,359,2022-01-23T05,Defeated
326,351,2023-02-22T01,Escaped
34,336,2021-09-03T05,Defeated
218,210,2021-03-02T06,Captured
154,398,2023-02-09T15,Defeated
106,234,2022-12-06T18,Defeated
95,257,2022-12-02T06,Defeated
74,391,2023-06-19T10,Defeated
252,415,2021-07-29T12,Defeated
147,205,2021-04-30T08,Escaped
179,401,2021-09-18T17,Escaped
87,409,2022-03-02T06,Escaped
154,356,2022-06-24T02,Escaped
32,276,2022-10-10T22,Captured
252,379,2023-06-09T19,Escaped
208,391,2021-07-16T16,Defeated
35,290,2023-06-06T12,Defeated
77,312,2021-12-11T21,Captured
326,269,2022-02-10T22,Escaped
78,354,2021-07-24T02,Escaped
235,362,2022-02-12T22,Defeated
258,377,2021-10-15T04,Captured
44,409,2022-01-17T19,Escaped
312,223,2022-05-26T12,Defeated
248,401,2022-08-28T19,Escaped
119,303,2021-07-26T14,Captured
313,249,2023-05-05T07,Captured
134,285,2022-10-27T08,Defeated
350,280,2021-11-09T21,Defeated
142,201,2023-08-05T15,Escaped
312,270,2023-02-02T07,Escaped
176,392,2021-08-12T08,Captured
81,268,2022-03-17T08,Defeated
169,298,2021-09-30T00,Escaped
126,374,2022-12-14T20,Escaped
381,220,2022-12-08T17,Defeated
195,374,2021-07-19T14,Escaped
183,328,2022-02-20T05,Escaped
34,205,2022-11-18T03,Defeated
337,368,2022-02-13T20,Captured
223,272,2022-08-07T17,Captured
168,414,2021-07-03T15,Escaped
77,202,2023-09-01T14,Defeated
124,210,2022-10-17T03,Defeated
44,265,2023-01-03T08,Escaped
321,233,2023-05-16T20,Escaped
64,417,2023-02-12T00,Escaped
195,254,2023-05-24T16,Defeated
244,336,2022-12-01T04,Defeated
374,198,2022-02-20T00,Captured
34,261,2021-10-17T18,Defeated
51,301,2021-08-19T06,Defeated
355,414,2023-04-24T16,Defeated
35,229,2023-09-06T13,Escaped
237,357,2022-08-25T03,Escaped
299,312,2023-06-07T17,Defeated
165,227,2022-04-29T02,Captured
36,343,2023-08-30T13,Escaped
72,312,2021-07-06T09,Defeated
207,373,2021-05-31T06,Defeated
356,406,2023-06-18T13,Escaped
217,404,2022-10-15T18,Captured
288,301,2022-05-18T12,Defeated
119,275,2021-03-08T07,Defeated
77,409,2021-05-28T17,Captured
344,356,2021-01-29T10,Escaped
274,330,2021-04-07T07,Captured
292,201,2021-04-18T19,Escaped
64,404,2023-07-12T19,Escaped
249,280,2021-03-09T16,Escaped
43,409,2023-05-13T11,Defeated
308,396,2023-01-19T03,Captured
22,404,2022-03-11T16,Captured
58,278,2021-11-20T04,Defeated
127,240,2022-03-17T05,Defeated
326,323,2023-05-22T10,Defeated
104,312,2021-09-22T16,Escaped
78,338,2022-01-27T13,Captured
165,401,2021-03-04T08,Captured
269,205,2021-12-21T06,Escaped
211,211,2023-02-17T22,Defeated
201,309,2022-08-11T03,Captured
211,202,2022-12-02T10,Captured
126,198,2022-02-10T16,Captured
136,220,2021-07-02T12,Escaped
169,382,2023-02-10T22,Captured
109,361,2023-04-20T06,Captured
92,202,2021-12-12T01,Escaped
211,234,2022-07-27T09,Defeated
237,264,2022-10-01T10,Captured
17,370,2021-03-15T12,Captured
119,369,2021-03-06T06,Defeated
258,240,2021-07-04T12,Captured
127,279,2023-04-18T17,Defeated
252,361,2022-11-19T06,Defeated
87,257,2022-07-22T02,Defeated
90,298,2021-06-18T15,Defeated
289,248,2021-08-18T14,Escaped
64,268,2023-03-31T21,Escaped
3,212,2021-03-15T19,Escaped
192,226,2021-06-08T18,Captured
122,249,2021-04-01T14,Escaped
169,340,2022-10-07T18,Captured
28,323,2022-08-28T05,Escaped
154,361,2023-01-04T06,Captured
362,369,2023-07-23T18,Escaped
35,208,2023-09-14T17,Defeated
284,415,2021-12-12T15,Defeated
78,303,2023-03-08T08,Captured
58,379,2021-05-14T10,Escaped
144,396,2021-03-30T18,Defeated
84,312,2022-08-29T18,Captured
289,280,2022-03-11T02,Defeated
179,354,2023-05-06T10,Escaped
122,304,2022-08-08T17,Escaped
106,240,2021-07-23T04,Captured
255,312,2022-10-26T17,Escaped
357,343,2022-12-05T18,Defeated
90,228,2022-06-10T16,Escaped
289,386,2021-07-28T17,Captured
366,220,2021-09-01T14,Defeated
332,258,2022-07-30T08,Escaped
81,229,2022-06-06T01,Escaped
355,365,2021-11-07T05,Defeated
332,398,2023-04-24T05,Escaped
104,378,2022-11-10T23,Defeated
197,245,2022-05-24T17,Defeated
37,249,2021-04-06T14,Defeated
217,364,2023-08-29T10,Captured
226,254,2022-02-28T15,Defeated
35,198,2021-03-28T14,Escaped
313,304,2022-05-11T07,Escaped
34,212,2022-05-13T05,Escaped
214,346,2023-04-03T08,Captured
287,406,2022-01-07T14,Defeated
102,220,2021-11-07T09,Escaped
217,356,2021-02-09T03,Escaped
115,392,2022-06-10T22,Escaped
365,205,2021-03-14T00,Defeated
202,301,2023-07-18T19,Escaped
288,414,2022-05-04T04,Defeated
347,419,2023-06-08T15,Captured
299,234,2023-08-15T21,Captured
56,269,2021-08-14T05,Defeated
44,285,2021-10-22T12,Escaped
131,365,2023-03-31T09,Defeated
226,258,2023-06-23T18,Defeated
99,214,2023-07-09T02,Defeated
179,279,2023-06-10T01,Defeated
196,279,2021-10-18T16,Captured
101,210,2021-10-01T08,Escaped
299,210,2023-07-26T12,Escaped
295,227,2023-04-25T14,Captured
202,313,2021-04-06T20,Captured
207,414,2023-05-12T12,Escaped
144,357,2021-01-16T12,Captured
321,357,2022-04-01T02,Escaped
365,323,2021-01-06T07,Defeated
173,359,2021-12-02T00,Captured
171,365,2021-12-06T05,Captured
7,338,2022-07-09T02,Defeated
285,309,2023-08-16T23,Defeated
129,309,2021-07-19T06,Captured
114,257,2023-08-04T23,Escaped
313,288,2022-11-26T04,Defeated
183,343,2022-01-09T09,Escaped
373,235,2023-03-03T12,Captured
232,340,2022-02-02T08,Defeated
176,282,2022-06-06T20,Escaped
98,269,2021-12-24T20,Escaped
183,316,2023-01-12T06,Captured
150,304,2022-02-06T20,Escaped
165,336,2023-08-13T18,Captured
78,268,2021-11-16T12,Escaped
45,232,2021-08-16T20,Defeated
17,268,2021-04-25T12,Defeated
313,214,2023-05-01T06,Escaped
370,328,2022-09-29T09,Escaped
369,309,2023-03-15T18,Escaped
7,316,2023-01-16T06,Escaped
182,368,2021-05-19T13,Defeated
355,378,2023-07-07T03,Defeated
37,409,2023-06-06T22,Defeated
102,214,2021-06-21T12,Captured
161,394,2023-04-14T09,Captured
7,234,2022-01-24T23,Escaped
152,279,2023-02-17T06,Defeated
312,392,2021-10-19T12,Defeated
165,415,2021-08-27T15,Defeated
115,293,2022-10-05T22,Escaped
45,205,2022-10-04T04,Captured
36,362,2022-11-15T02,Defeated
232,282,2022-11-28T05,Defeated
185,385,2023-02-05T11,Defeated
109,201,2022-11-21T08,Captured
154,276,2023-01-10T09,Captured
176,227,2022-01-02T07,Escaped
365,312,2022-04-27T13,Captured
101,202,2021-02-05T20,Escaped
232,275,2022-11-21T08,Defeated
17,394,2023-05-06T05,Escaped
102,296,2022-02-21T19,Captured
50,414,2021-12-29T23,Escaped
340,305,2022-05-13T02,Escaped
321,257,2023-05-08T10,Escaped
192,362,2021-12-19T18,Captured
200,227,2022-09-28T23,Escaped
99,223,2022-10-09T18,Escaped
201,369,2022-06-12T23,Captured
69,358,2022-07-11T02,Captured
25,406,2022-11-15T21,Escaped
288,198,2022-10-28T03,Escaped
307,214,2022-06-15T05,Defeated
333,386,2022-12-25T09,Defeated
344,358,2022-07-22T15,Defeated
92,306,2023-08-02T08,Defeated
95,394,2021-03-30T13,Captured
3,338,2021-08-22T16,Captured
269,290,2021-05-16T19,Captured
281,220,2022-08-09T06,Escaped
376,382,2021-01-10T14,Escaped
98,249,2022-02-17T16,Defeated
115,351,2023-03-11T22,Captured
308,226,2023-04-08T04,Defeated
72,211,2021-05-23T18,Defeated
218,388,2022-06-19T09,Defeated
183,340,2023-07-24T22,Captured
196,249,2021-07-08T13,Captured
44,348,2022-11-05T15,Captured
190,290,2022-01-13T00,Defeated
51,228,2021-07-04T03,Defeated
259,374,2021-09-11T00,Defeated
337,358,2022-05-31T09,Captured
359,220,2022-11-26T11,Escaped
119,392,2022-02-04T22,Defeated
221,248,2021-01-14T22,Escaped
357,392,2021-01-19T14,Captured
66,388,2022-01-01T23,Defeated
161,210,2023-08-31T08,Escaped
31,373,2022-10-22T16,Defeated
333,323,2023-03-02T13,Captured
335,201,2023-06-09T06,Captured
263,198,2021-05-12T20,Escaped
344,362,2022-05-24T00,Escaped
350,226,2022-05-20T13,Defeated
196,197,2021-12-03T18,Escaped
69,385,2022-04-09T18,Defeated
347,391,2022-11-06T17,Escaped
295,388,2021-06-21T05,Defeated
299,265,2021-10-10T12,Captured
111,377,2021-08-21T17,Captured
115,197,2023-07-15T21,Escaped
122,313,2023-03-23T01,Captured
208,228,2022-03-26T17,Captured
122,401,2021-08-06T14,Defeated
322,338,2021-08-05T00,Captured
136,406,2022-07-20T20,Escaped
192,323,2022-12-23T00,Defeated
11,401,2023-05-09T00,Captured
288,377,2023-03-14T00,Captured
131,378,2021-01-18T13,Escaped
17,336,2023-03-03T01,Captured
131,320,2022-10-30T21,Captured
279,305,2022-10-19T07,Escaped
369,364,2022-10-09T10,Defeated
318,417,2021-09-05T18,Escaped
22,374,2021-10-16T06,Escaped
187,249,2021-11-09T04,Captured
40,257,2021-07-03T11,Defeated
119,287,2023-03-30T18,Captured
122,343,2023-08-31T10,Escaped
