character_id,npc_id,timestamp,value
15,80,2022-08-18T08,Ignored
178,201,2022-07-25T10,Talked
127,62,2021-03-01T22,Sold To
73,138,2021-02-22T04,Ignored
19,179,2022-09-12T11,Fought
140,80,2021-02-12T09,Talked
173,268,2022-02-04T16,Talked
70,387,2021-02-23T10,Bought From
83,2,2022-09-29T02,Sold To
98,202,2022-07-08T19,Bought From
124,22,2023-06-14T06,Talked
64,118,2022-03-27T07,Sold To
67,36,2021-05-23T20,Bought From
35,374,2022-04-24T10,Talked
165,75,2022-10-29T14,Bought From
162,378,2022-02-23T06,Fought
118,252,2023-05-22T17,Fought
170,97,2021-09-19T13,Sold To
128,111,2022-11-04T15,Sold To
183,115,2021-11-07T05,Ignored
74,337,2021-11-06T13,Ignored
106,280,2022-05-12T04,Fought
51,157,2021-04-30T09,Talked
43,38,2021-12-10T04,Bought From
54,221,2022-01-14T04,Ignored
46,56,2022-09-05T18,Talked
11,59,2022-07-09T14,Fought
127,55,2022-06-26T22,Sold To
29,261,2022-04-19T07,Sold To
93,214,2023-01-29T08,Fought
34,28,2021-11-02T12,Bought From
137,244,2023-03-29T01,Bought From
93,162,2022-05-18T20,Ignored
15,347,2023-08-27T10,Fought
128,346,2022-04-22T21,Talked
23,254,2022-07-20T11,Talked
8,36,2023-02-09T04,Bought From
35,252,2021-09-23T01,Fought
1,322,2023-06-13T21,Ignored
104,272,2023-01-14T17,Talked
129,115,2022-04-06T00,Ignored
44,326,2023-02-21T01,Ignored
83,23,2022-03-31T13,Fought
91,22,2021-03-07T01,Sold To
177,143,2021-09-11T16,Talked
153,9,2022-03-14T15,Bought From
118,337,2022-06-23T01,Sold To
26,157,2022-08-16T12,Fought
78,211,2022-11-29T02,Bought From
76,159,2021-12-03T10,Fought
57,151,2022-09-21T01,Fought
116,300,2021-05-04T16,Talked
103,48,2021-12-27T06,Bought From
22,114,2022-03-11T07,Sold To
35,82,2023-08-22T09,Fought
170,354,2022-08-28T12,Fought
160,373,2021-01-18T22,Fought
138,257,2022-05-02T18,Sold To
91,374,2021-11-12T15,Talked
64,361,2022-08-12T07,Fought
165,95,2022-01-26T21,Talked
19,268,2023-07-24T19,Fought
127,207,2021-06-29T09,Ignored
34,189,2021-08-14T13,Fought
146,203,2023-07-05T20,Ignored
112,370,2021-10-31T01,Sold To
69,145,2023-05-02T18,Sold To
67,304,2021-04-13T05,Fought
30,111,2022-09-24T07,Fought
8,389,2022-05-03T23,Fought
97,245,2023-04-05T02,Fought
84,80,2021-03-28T10,Talked
63,219,2022-10-07T04,Bought From
142,120,2023-02-28T16,Bought From
63,319,2021-02-06T05,Fought
140,203,2021-06-21T21,Bought From
5,225,2022-02-05T00,Fought
137,350,2022-06-24T08,Talked
43,105,2023-07-09T05,Bought From
103,143,2021-07-10T02,Ignored
86,348,2022-11-20T13,Ignored
93,138,2023-02-07T22,Bought From
74,373,2023-01-06T17,Bought From
129,364,2022-11-10T23,Talked
78,9,2022-03-24T17,Talked
26,343,2022-06-05T14,Fought
183,233,2023-09-10T10,Talked
73,289,2023-07-22T17,Ignored
54,122,2023-03-30T17,Talked
16,82,2021-04-26T20,Fought
76,277,2022-01-17T00,Talked
183,373,2021-10-10T21,Ignored
116,320,2022-12-14T22,Bought From
14,20,2021-02-03T13,Sold To
160,179,2023-03-25T21,Fought
83,61,2023-04-10T03,Talked
100,93,2022-01-23T20,Talked
114,389,2022-11-18T12,Sold To
132,326,2022-08-30T01,Ignored
135,129,2022-02-05T06,Sold To
16,79,2022-07-29T13,Talked
60,275,2021-04-05T04,Fought
102,370,2022-01-08T09,Talked
132,221,2023-09-08T18,Sold To
64,334,2023-08-02T22,Talked
26,259,2022-04-15T19,Fought
140,202,2022-10-20T00,Fought
65,374,2021-04-29T06,Fought
14,322,2021-12-25T05,Sold To
97,161,2023-07-11T12,Ignored
1,378,2021-12-04T16,Ignored
159,212,2022-12-11T19,Fought
183,38,2023-08-04T03,Bought From
162,366,2023-03-28T14,Sold To
159,105,2022-12-08T15,Talked
8,184,2022-12-26T05,Bought From
159,223,2022-01-06T13,Bought From
138,297,2021-01-25T13,Ignored
93,59,2022-07-04T16,Sold To
152,34,2023-03-28T07,Ignored
111,384,2023-03-19T20,Sold To
102,105,2022-10-27T07,Talked
80,307,2023-03-25T21,Fought
11,319,2022-06-17T01,Ignored
104,64,2021-06-23T12,Ignored
183,214,2021-12-30T23,Ignored
57,26,2021-05-21T06,Sold To
177,225,2021-06-03T15,Fought
108,64,2021-09-20T12,Bought From
111,23,2023-07-07T18,Fought
78,241,2022-01-27T17,Fought
108,140,2022-12-24T07,Talked
5,206,2023-03-20T01,Ignored
19,319,2021-11-07T12,Sold To
35,135,2022-02-18T09,Bought From
88,191,2021-07-01T10,Ignored
145,370,2022-05-23T10,Ignored
128,361,2023-05-26T14,Fought
38,259,2023-06-04T09,Ignored
121,283,2021-08-08T13,Ignored
30,312,2023-02-07T15,Sold To
84,207,2023-06-19T02,Bought From
112,233,2021-02-22T10,Talked
70,9,2022-01-10T20,Sold To
178,370,2023-04-19T06,Talked
44,217,2022-01-05T15,Fought
4,337,2022-08-11T01,Ignored
93,23,2023-07-18T19,Ignored
176,157,2022-01-22T14,Fought
98,26,2022-06-05T05,Fought
76,97,2022-11-28T18,Sold To
83,237,2022-10-06T09,Sold To
89,35,2023-01-03T23,Fought
93,389,2022-11-04T18,Bought From
26,127,2022-08-03T16,Sold To
34,364,2021-07-11T05,Sold To
93,387,2023-05-17T01,Fought
116,249,2022-01-19T03,Ignored
54,252,2021-03-08T14,Talked
132,26,2022-04-02T13,Sold To
26,135,2022-03-31T09,Talked
124,313,2021-08-24T19,Sold To
69,347,2021-04-01T18,Ignored
114,237,2022-12-18T03,Talked
142,347,2022-03-25T05,Talked
69,309,2021-10-27T14,Bought From
111,85,2022-09-02T08,Sold To
14,354,2021-07-21T11,Ignored
165,235,2023-08-20T02,Ignored
132,329,2021-02-08T08,Sold To
64,254,2021-06-25T04,Sold To
170,191,2021-08-04T16,Bought From
84,221,2022-07-21T15,Fought
103,43,2023-03-15T06,Sold To
1,20,2021-12-16T04,Bought From
67,370,2021-09-23T10,Sold To
140,259,2023-06-10T10,Ignored
142,350,2022-02-10T22,Talked
89,72,2021-09-01T07,Talked
142,375,2022-04-25T21,Bought From
129,55,2021-09-13T15,Bought From
111,173,2021-09-09T03,Ignored
63,319,2021-09-03T01,Sold To
84,13,2023-08-07T23,Sold To
162,261,2021-05-03T22,Ignored
176,260,2023-03-12T18,Sold To
26,124,2023-02-07T07,Fought
128,295,2022-04-25T13,Bought From
102,366,2021-03-06T13,Fought
180,246,2022-12-23T02,Ignored
19,350,2021-09-26T22,Fought
108,154,2022-09-27T17,Ignored
183,322,2022-03-27T05,Sold To
22,52,2023-07-28T08,Talked
60,217,2021-01-19T21,Sold To
34,85,2021-10-22T05,Sold To
112,48,2023-03-17T13,Ignored
150,320,2023-01-12T02,Sold To
100,40,2021-10-22T13,Fought
54,286,2022-08-14T07,Sold To
106,325,2021-01-19T21,Bought From
46,349,2023-04-23T11,Fought
156,286,2023-07-27T14,Talked
64,211,2021-12-19T07,Talked
48,377,2022-07-13T18,Fought
153,26,2021-11-21T22,Bought From
178,143,2023-07-17T08,Bought From
83,191,2022-08-10T16,Ignored
132,8,2022-02-01T15,Talked
142,207,2021-07-13T15,Talked
159,97,2023-01-21T19,Bought From
147,129,2021-04-20T16,Talked
1,79,2022-01-25T17,Talked
62,223,2021-11-26T19,Fought
33,307,2021-08-25T17,Bought From
65,95,2022-12-02T09,Bought From
93,351,2022-12-27T19,Ignored
140,67,2022-12-28T09,Fought
112,28,2021-05-16T09,Ignored
64,28,2022-12-11T02,Sold To
54,195,2021-05-26T04,Bought From
29,320,2023-04-04T02,Talked
84,260,2023-03-17T05,Talked
23,350,2021-12-13T06,Sold To
140,34,2023-08-25T13,Sold To
86,122,2021-03-27T03,Sold To
135,55,2022-10-03T11,Sold To
140,106,2023-06-27T21,Fought
23,114,2021-12-11T19,Fought
146,307,2023-02-04T19,Talked
160,292,2023-06-23T10,Sold To
138,43,2022-04-24T20,Sold To
108,64,2021-10-17T03,Ignored
29,91,2022-04-28T06,Fought
69,378,2021-09-30T20,Fought
138,373,2022-04-20T15,Fought
106,197,2023-03-18T10,Talked
183,301,2021-09-16T12,Sold To
74,70,2022-10-03T11,Fought
15,155,2021-10-06T02,Sold To
170,59,2022-03-01T18,Talked
97,140,2022-02-28T21,Sold To
14,67,2023-06-01T03,Sold To
146,72,2021-01-15T02,Bought From
98,207,2021-07-23T19,Fought
83,195,2022-06-21T07,Ignored
57,115,2023-05-31T08,Ignored
114,148,2023-01-19T07,Fought
69,292,2022-03-25T20,Talked
144,146,2022-07-16T11,Ignored
65,331,2023-02-15T06,Bought From
108,146,2022-11-05T18,Talked
145,72,2021-10-18T06,Fought
15,319,2023-03-06T14,Talked
51,301,2023-04-27T22,Ignored
183,373,2021-11-13T03,Talked
147,293,2021-10-02T00,Sold To
183,280,2021-12-16T17,Sold To
99,79,2022-05-10T08,Sold To
145,108,2021-03-08T18,Bought From
116,384,2021-03-14T11,Fought
157,230,2021-08-10T17,Sold To
145,207,2021-10-13T08,Ignored
137,202,2021-02-16T05,Fought
183,359,2022-06-18T02,Ignored
167,275,2023-08-09T00,Ignored
91,293,2021-09-25T23,Fought
98,2,2023-08-10T20,Fought
159,203,2022-11-24T19,Bought From
48,300,2022-11-11T01,Sold To
145,46,2022-07-26T00,Sold To
81,319,2021-04-19T13,Talked
137,13,2021-06-17T05,Talked
40,131,2022-01-24T09,Ignored
83,370,2021-08-07T07,Sold To
137,102,2022-04-25T03,Sold To
69,13,2021-06-30T03,Sold To
40,293,2023-08-26T21,Bought From
11,214,2021-09-26T02,Talked
26,129,2022-05-08T11,Ignored
69,79,2021-10-15T02,Fought
8,384,2022-12-31T08,Fought
100,268,2021-11-09T09,Sold To
100,275,2022-10-24T23,Sold To
67,246,2023-03-31T19,Talked
102,138,2023-04-08T07,Talked
176,203,2021-09-12T04,Ignored
156,40,2021-09-15T08,Ignored
86,48,2021-09-16T09,Talked
178,288,2021-05-09T13,Sold To
57,302,2022-08-05T07,Bought From
5,49,2021-07-06T13,Ignored
135,146,2022-06-12T06,Bought From
146,289,2022-12-26T08,Ignored
124,357,2022-06-12T18,Fought
62,138,2021-05-09T15,Sold To
140,337,2022-12-25T22,Ignored
98,90,2022-09-07T01,Fought
183,370,2022-06-21T12,Bought From
46,235,2022-12-08T13,Talked
118,222,2023-08-22T06,Sold To
114,52,2022-11-17T08,Talked
54,105,2023-01-11T20,Ignored
5,237,2023-03-08T18,Ignored
95,209,2021-04-09T12,Sold To
35,148,2021-06-23T11,Talked
157,270,2022-09-20T06,Fought
33,193,2022-02-22T20,Talked
156,357,2021-05-08T17,Ignored
103,275,2021-11-22T16,Fought
33,120,2023-06-27T09,Sold To
118,28,2021-08-09T13,Ignored
183,268,2023-01-28T10,Ignored
11,384,2021-05-13T09,Ignored
22,12,2021-04-21T04,Sold To
167,324,2023-04-19T21,Fought
170,138,2021-09-17T04,Ignored
146,46,2022-03-08T15,Sold To
178,302,2021-07-02T19,Talked
177,261,2021-03-11T09,Sold To
108,334,2022-07-25T01,Bought From
65,337,2023-08-25T07,Fought
180,288,2022-05-22T00,Sold To
64,159,2023-09-02T00,Talked
40,326,2023-02-19T15,Fought
140,237,2022-10-06T09,Ignored
54,31,2021-02-04T02,Sold To
100,76,2021-02-04T10,Ignored
15,260,2023-02-08T08,Talked
65,165,2021-07-29T16,Talked
29,140,2021-11-08T15,Ignored
140,259,2023-06-18T00,Ignored
80,182,2021-02-07T12,Fought
29,377,2023-05-10T06,Talked
170,375,2022-05-20T08,Ignored
91,151,2022-06-14T02,Bought From
112,173,2021-03-19T02,Sold To
84,389,2021-02-19T03,Bought From
57,173,2021-12-05T13,Sold To
146,105,2023-02-20T02,Sold To
43,20,2021-08-21T17,Sold To
180,76,2021-05-01T06,Sold To
6,148,2021-11-05T20,Fought
183,49,2021-11-22T02,Talked
23,309,2022-03-21T23,Fought
176,347,2021-05-05T18,Sold To
26,325,2023-03-14T15,Ignored
170,304,2022-11-18T17,Ignored
63,162,2021-07-03T13,Talked
73,295,2022-07-15T13,Sold To
137,337,2021-02-16T19,Bought From
54,13,2021-09-02T22,Sold To
178,91,2022-09-21T10,Bought From
100,359,2021-03-09T16,Fought
88,259,2023-02-20T17,Bought From
142,35,2021-09-07T00,Fought
142,265,2023-03-07T21,Ignored
176,313,2022-03-04T15,Ignored
5,217,2022-10-14T11,Bought From
104,307,2023-05-13T06,Talked
84,302,2023-03-09T10,Fought
132,324,2022-07-24T06,Sold To
93,135,2022-09-01T07,Talked
91,313,2023-03-19T13,Sold To
152,34,2022-10-24T17,Fought
124,179,2021-10-07T23,Fought
63,122,2021-01-31T04,Fought
180,364,2023-09-08T17,Sold To
118,347,2023-04-16T03,Sold To
83,122,2022-05-22T01,Sold To
78,100,2021-03-25T15,Sold To
128,12,2022-09-19T00,Ignored
106,337,2022-04-01T09,Ignored
144,212,2023-05-04T13,Ignored
26,151,2021-04-22T13,Ignored
95,307,2021-10-03T02,Fought
1,143,2022-06-10T00,Sold To
99,61,2021-08-27T13,Bought From
48,105,2021-12-22T20,Bought From
146,52,2022-09-29T15,Talked
19,148,2023-02-22T23,Talked
145,337,2022-05-04T08,Fought
150,197,2021-09-25T19,Sold To
34,155,2021-03-17T20,Sold To
124,381,2021-05-03T21,Bought From
112,55,2022-05-28T09,Sold To
34,260,2021-11-03T18,Sold To
157,35,2021-09-01T23,Bought From
112,221,2021-07-16T02,Sold To
97,108,2022-04-25T13,Sold To
91,341,2021-08-17T07,Sold To
83,70,2023-08-17T10,Fought
80,260,2022-11-30T08,Fought
60,364,2023-02-07T14,Sold To
8,307,2021-01-25T12,Talked
118,8,2022-02-18T23,Ignored
183,124,2022-01-08T23,Ignored
19,198,2021-03-09T16,Talked
159,270,2021-03-05T17,Ignored
121,300,2023-03-12T22,Sold To
89,176,2023-03-28T09,Sold To
160,82,2023-08-02T03,Bought From
48,161,2022-04-29T14,Fought
98,48,2021-12-04T03,Sold To
62,209,2023-08-21T03,Fought
35,214,2022-07-01T12,Bought From
128,36,2022-11-26T23,Fought
153,270,2021-03-18T14,Bought From
176,40,2022-06-09T16,Ignored
98,359,2023-06-06T11,Fought
128,384,2022-05-15T08,Fought
84,348,2022-09-17T21,Talked
135,88,2023-08-27T18,Sold To
176,301,2021-06-12T00,Bought From
116,283,2021-06-10T09,Ignored
48,347,2023-09-09T03,Talked
93,72,2023-01-13T00,Bought From
137,292,2021-05-03T19,Sold To
118,8,2023-05-07T07,Fought
156,295,2021-11-29T12,Bought From
74,35,2023-07-01T13,Bought From
146,141,2023-02-22T19,Bought From
98,72,2021-11-02T08,Sold To
34,62,2021-03-04T14,Bought From
147,351,2023-03-09T14,Bought From
26,49,2022-09-27T00,Ignored
70,375,2021-05-13T22,Bought From
170,313,2023-06-15T03,Fought
100,217,2021-03-08T00,Talked
128,319,2023-08-10T01,Ignored
103,370,2022-08-15T13,Fought
177,154,2021-10-04T11,Bought From
167,151,2022-08-25T02,Bought From
76,302,2021-05-21T06,Sold To
147,85,2022-08-18T00,Ignored
176,8,2021-01-18T13,Ignored
165,275,2021-08-29T19,Fought
135,263,2021-07-05T07,Ignored
34,389,2021-05-10T08,Sold To
81,214,2021-10-03T11,Bought From
108,165,2023-03-16T20,Sold To
40,233,2023-01-26T08,Sold To
70,265,2023-02-26T00,Ignored
22,189,2023-08-12T16,Bought From
69,76,2022-03-20T08,Ignored
76,233,2022-11-10T06,Ignored
29,114,2023-07-25T05,Fought
146,329,2021-02-21T16,Ignored
48,120,2021-10-23T18,Bought From
93,349,2022-12-29T01,Ignored
64,23,2021-10-03T06,Bought From
69,346,2021-01-21T08,Ignored
23,326,2023-03-02T22,Sold To
73,237,2021-12-12T14,Sold To
14,97,2023-03-16T17,Sold To
4,85,2021-05-10T14,Ignored
159,105,2022-10-08T19,Fought
43,75,2021-06-24T20,Sold To
114,375,2021-08-13T10,Sold To
157,187,2021-02-24T10,Ignored
38,12,2022-12-25T19,Ignored
137,260,2021-07-23T21,Sold To
162,240,2021-12-04T00,Fought
147,80,2023-01-16T22,Fought
129,90,2023-01-18T22,Sold To
183,206,2023-08-19T16,Fought
29,214,2023-07-13T12,Sold To
178,176,2021-01-08T14,Bought From
145,235,2023-03-03T22,Fought
29,191,2022-11-11T03,Ignored
14,48,2021-07-13T17,Fought
129,212,2021-09-24T06,Bought From
177,146,2023-06-08T23,Talked
91,277,2022-03-15T06,Fought
102,100,2021-06-15T20,Ignored
152,17,2023-04-19T01,Bought From
65,288,2023-05-16T06,Talked
137,55,2021-09-16T19,Bought From
127,319,2021-11-13T11,Ignored
112,176,2022-07-23T01,Ignored
23,233,2023-05-31T16,Sold To
48,270,2022-03-18T07,Ignored
76,195,2023-08-13T18,Ignored
102,146,2023-08-28T11,Sold To
98,79,2022-05-24T02,Talked
1,230,2023-05-30T06,Fought
167,184,2023-09-13T22,Fought
5,217,2023-07-18T11,Bought From
11,67,2022-05-24T18,Ignored
23,304,2022-10-17T02,Talked
74,254,2023-06-13T07,Talked
1,34,2022-08-05T09,Bought From
102,257,2023-08-23T10,Ignored
15,320,2023-05-29T06,Sold To
98,377,2021-11-21T03,Fought
89,148,2023-01-11T22,Talked
173,182,2022-09-12T03,Fought
102,173,2021-04-21T17,Sold To
11,165,2022-12-15T09,Ignored
62,62,2023-08-26T14,Bought From
57,211,2021-03-27T17,Sold To
100,245,2022-04-08T14,Talked
4,96,2021-01-18T21,Sold To
162,207,2023-04-01T17,Ignored
34,309,2022-03-19T07,Ignored
34,270,2021-08-16T19,Talked
144,223,2021-01-19T12,Bought From
83,97,2021-06-23T01,Sold To
64,151,2022-03-11T22,Ignored
108,173,2022-05-16T01,Sold To
93,120,2022-12-27T17,Fought
74,56,2021-09-14T00,Bought From
81,360,2022-04-02T10,Ignored
156,28,2022-12-19T07,Sold To
64,145,2023-01-08T19,Talked
137,228,2022-06-01T08,Talked
34,387,2022-07-05T00,Talked
1,384,2022-11-07T12,Ignored
38,237,2023-04-26T10,Talked
48,13,2023-01-13T09,Bought From
23,235,2023-05-01T23,Bought From
108,237,2021-09-30T12,Bought From
153,221,2022-11-20T12,Ignored
95,91,2022-06-21T15,Bought From
129,79,2022-03-09T20,Bought From
91,96,2023-02-10T17,Talked
93,302,2023-05-08T07,Fought
89,159,2023-06-09T20,Ignored
76,198,2023-02-18T06,Ignored
35,220,2021-04-16T09,Fought
178,102,2022-11-03T00,Fought
33,124,2023-08-09T02,Talked
23,56,2021-04-06T14,Ignored
103,20,2022-07-28T05,Sold To
60,348,2022-12-09T12,Talked
51,187,2021-11-23T16,Bought From
29,165,2022-01-29T13,Bought From
35,307,2021-02-01T02,Sold To
63,357,2023-07-09T16,Sold To
40,219,2022-08-13T21,Bought From
81,2,2022-06-29T08,Sold To
98,168,2023-03-14T00,Talked
183,70,2022-05-19T02,Bought From
104,219,2022-11-21T13,Bought From
170,324,2021-08-26T14,Bought From
156,143,2021-07-21T09,Bought From
83,88,2023-05-04T06,Fought
167,244,2022-03-08T01,Fought
46,366,2022-09-18T23,Ignored
142,203,2022-07-16T00,Sold To
11,268,2023-03-29T11,Bought From
116,209,2022-06-24T21,Talked
86,334,2021-12-05T13,Ignored
127,370,2021-07-31T09,Sold To
124,326,2022-08-05T22,Ignored
14,96,2023-05-28T12,Sold To
5,40,2022-07-10T06,Talked
177,91,2021-08-16T22,Talked
180,22,2023-02-10T10,Bought From
38,8,2021-07-20T17,Bought From
128,316,2021-09-05T12,Bought From
57,263,2022-10-01T10,Sold To
140,108,2021-05-26T17,Fought
81,17,2022-01-23T09,Fought
106,151,2021-02-12T07,Ignored
46,378,2022-06-30T00,Fought
14,201,2021-07-08T01,Sold To
70,76,2023-06-15T14,Fought
33,209,2023-07-23T19,Ignored
19,221,2022-06-13T07,Bought From
142,201,2022-01-08T04,Talked
46,79,2023-04-19T12,Fought
103,171,2022-12-15T04,Fought
74,90,2022-08-27T14,Ignored
153,297,2023-01-09T20,Talked
63,100,2023-03-11T01,Fought
98,49,2023-09-01T11,Fought
86,219,2022-04-12T17,Ignored
153,389,2023-01-10T22,Talked
99,173,2022-12-05T12,Fought
84,245,2021-06-02T19,Sold To
29,316,2022-04-01T17,Fought
81,313,2023-03-11T05,Fought
116,225,2022-08-21T13,Ignored
165,260,2022-01-10T18,Fought
91,249,2021-12-03T09,Ignored
15,161,2022-04-12T09,Bought From
98,246,2021-08-16T20,Ignored
67,316,2021-02-07T10,Fought
108,348,2021-02-04T05,Ignored
62,67,2023-03-04T07,Ignored
89,249,2022-03-07T02,Bought From
78,293,2021-11-21T13,Talked
84,106,2023-07-12T13,Talked
19,182,2021-06-03T05,Bought From
15,16,2023-05-05T15,Talked
127,59,2023-05-05T21,Ignored
38,48,2023-01-06T02,Fought
69,228,2023-04-11T02,Bought From
15,351,2021-11-09T00,Bought From
38,304,2022-03-16T15,Ignored
57,82,2021-09-18T00,Ignored
73,159,2021-03-14T20,Talked
178,337,2021-04-26T05,Bought From
138,145,2023-03-19T04,Fought
84,145,2022-07-24T08,Talked
176,373,2021-06-13T23,Talked
43,260,2021-06-27T01,Talked
78,28,2021-12-18T05,Fought
88,61,2022-12-25T17,Fought
5,97,2023-02-19T16,Bought From
35,59,2021-01-17T23,Fought
167,17,2021-06-10T23,Talked
160,245,2021-05-21T08,Fought
15,257,2021-06-23T14,Talked
142,95,2021-06-04T10,Fought
116,283,2023-05-03T14,Bought From
67,115,2021-02-03T02,Bought From
73,108,2021-08-22T06,Sold To
33,197,2023-03-21T08,Ignored
8,2,2022-06-27T20,Sold To
44,248,2023-02-17T12,Ignored
74,241,2021-07-16T17,Ignored
118,96,2022-08-10T17,Bought From
35,176,2021-11-17T11,Sold To
8,378,2021-09-24T05,Sold To
121,283,2022-08-25T10,Sold To
178,286,2023-03-09T08,Fought
111,297,2022-02-05T02,Sold To
91,202,2022-07-21T05,Bought From
91,293,2021-05-22T12,Bought From
93,105,2023-05-23T11,Fought
162,214,2022-01-14T02,Ignored
74,61,2023-02-26T11,Bought From
127,329,2021-11-02T14,Ignored
147,384,2022-03-27T22,Bought From
