character_id,guild_id,timestamp,value
49,118,2023-01-02T07,Left
124,130,2022-03-16T10,Joined
77,100,2022-11-21T00,Joined
134,146,2023-08-16T22,Promoted
49,63,2021-01-14T16,Promoted
54,39,2021-10-15T07,Promoted
118,93,2023-05-13T02,Joined
58,54,2023-05-20T18,Promoted
106,63,2021-04-23T03,Joined
22,118,2022-10-31T20,Joined
5,192,2021-03-12T05,Joined
74,57,2021-12-18T19,Joined
66,75,2022-08-01T09,Promoted
124,14,2022-10-09T15,Left
37,106,2022-10-22T13,Promoted
20,87,2022-03-13T09,Left
107,16,2021-03-31T09,Joined
5,114,2023-03-11T09,Joined
12,157,2021-04-03T10,Left
79,130,2023-03-11T04,Left
130,106,2023-06-29T22,Promoted
66,137,2022-09-27T02,Promoted
115,22,2021-02-01T19,Joined
38,72,2022-02-01T12,Promoted
81,174,2021-09-06T23,Left
115,171,2022-02-11T13,Joined
121,162,2023-06-16T23,Promoted
101,25,2023-03-28T22,Left
63,134,2021-04-07T09,Promoted
53,65,2023-07-03T15,Left
22,18,2022-06-06T16,Promoted
139,132,2022-11-05T10,Promoted
79,51,2021-11-11T17,Left
66,30,2022-01-15T19,Promoted
33,63,2022-03-19T22,Promoted
3,153,2023-04-01T04,Left
79,6,2021-04-23T23,Left
44,81,2021-05-30T00,Promoted
58,162,2022-02-13T22,Promoted
29,41,2021-05-15T16,Promoted
52,146,2022-02-09T11,Promoted
32,105,2022-12-25T22,Promoted
84,12,2023-04-08T18,Promoted
60,84,2021-07-17T12,Promoted
89,22,2022-11-03T18,Left
84,153,2023-05-11T22,Left
96,25,2022-09-25T01,Left
40,128,2023-07-20T22,Promoted
10,166,2022-02-15T12,Joined
16,50,2023-01-01T10,Joined
55,3,2023-06-29T23,Joined
89,105,2021-07-17T22,Joined
22,189,2023-06-23T20,Promoted
22,107,2023-04-25T23,Promoted
77,125,2021-12-22T20,Joined
18,112,2022-07-18T08,Promoted
55,118,2022-07-16T02,Promoted
23,181,2022-08-23T13,Left
33,12,2023-04-22T04,Promoted
96,107,2022-03-23T07,Joined
29,166,2021-09-16T21,Left
8,13,2023-08-08T14,Left
130,132,2022-11-03T09,Left
133,162,2021-07-27T20,Joined
134,22,2023-01-02T10,Joined
96,114,2023-05-14T11,Joined
71,95,2023-05-26T16,Promoted
124,125,2023-06-06T11,Left
29,179,2022-01-14T17,Left
126,8,2023-07-18T13,Joined
136,156,2021-04-18T10,Left
126,174,2022-06-05T12,Joined
44,121,2022-11-08T08,Promoted
10,162,2021-09-04T05,Promoted
91,125,2021-01-02T05,Joined
115,19,2022-01-14T06,Joined
136,107,2022-03-15T11,Promoted
27,111,2021-07-22T22,Joined
118,114,2021-08-12T16,Promoted
106,128,2021-12-24T16,Joined
64,38,2022-10-22T04,Promoted
84,6,2021-05-10T03,Joined
20,179,2021-07-06T13,Promoted
47,159,2023-03-28T05,Left
104,174,2023-08-23T00,Joined
16,147,2022-06-03T18,Left
33,123,2022-12-26T02,Left
68,35,2021-01-18T08,Joined
36,84,2022-04-12T07,Left
111,22,2023-02-14T12,Left
91,176,2021-02-25T13,Promoted
71,43,2023-05-29T09,Promoted
66,134,2021-10-10T15,Left
43,93,2021-04-01T17,Promoted
111,114,2021-06-26T14,Promoted
74,186,2023-09-04T18,Left
108,57,2023-02-04T13,Promoted
44,16,2021-06-23T14,Left
29,91,2021-05-01T04,Left
134,84,2023-06-19T03,Promoted
52,123,2022-07-27T13,Left
63,3,2021-06-17T11,Left
47,146,2022-03-27T16,Promoted
106,176,2021-03-05T18,Promoted
22,195,2022-12-11T03,Promoted
89,50,2022-06-15T18,Promoted
77,107,2021-09-24T17,Promoted
52,134,2023-07-15T06,Promoted
139,153,2021-06-08T04,Promoted
118,166,2021-12-16T10,Promoted
10,63,2022-01-20T20,Left
96,65,2023-01-03T17,Promoted
50,51,2023-08-11T15,Joined
106,38,2022-08-01T04,Left
130,112,2022-06-20T14,Left
8,50,2022-12-25T00,Joined
87,76,2023-06-06T10,Left
133,117,2021-11-04T23,Left
106,174,2022-08-06T05,Left
5,189,2022-02-16T22,Left
57,19,2023-08-18T08,Promoted
12,123,2023-08-19T19,Promoted
16,186,2023-03-19T15,Left
119,57,2021-04-09T23,Promoted
22,24,2022-07-12T18,Left
139,30,2021-01-02T10,Promoted
57,145,2022-03-29T13,Promoted
136,68,2022-08-03T13,Joined
104,114,2021-05-11T20,Left
69,87,2021-07-01T12,Left
79,48,2021-07-15T08,Left
66,48,2022-02-09T11,Joined
98,60,2022-09-16T10,Left
63,157,2023-03-24T22,Joined
84,159,2021-01-18T17,Promoted
115,106,2021-10-08T01,Left
138,130,2023-09-04T17,Joined
74,146,2021-08-09T00,Promoted
52,145,2021-05-11T10,Left
87,139,2022-01-14T07,Left
40,109,2021-04-01T05,Joined
50,14,2022-02-20T18,Joined
64,40,2022-01-09T12,Left
3,38,2022-05-31T06,Promoted
10,107,2023-05-13T09,Promoted
74,132,2022-09-05T20,Promoted
53,59,2023-06-13T08,Left
118,114,2023-06-20T13,Left
108,35,2021-01-21T23,Left
10,98,2022-12-04T21,Promoted
16,189,2021-01-18T03,Promoted
68,41,2021-12-30T10,Promoted
52,123,2023-06-06T01,Joined
98,105,2023-03-05T12,Joined
58,134,2022-07-28T06,Joined
3,146,2021-11-18T15,Joined
27,83,2023-02-08T03,Left
139,48,2022-02-13T13,Left
3,186,2021-09-30T17,Joined
107,59,2021-12-17T04,Left
60,63,2023-08-18T06,Left
111,57,2022-11-04T20,Left
94,187,2021-05-30T15,Left
126,157,2023-07-27T23,Joined
74,16,2021-01-11T21,Promoted
79,39,2023-05-16T19,Promoted
130,147,2022-12-03T04,Left
79,137,2021-01-11T09,Promoted
52,130,2023-03-07T10,Joined
94,125,2022-12-21T05,Promoted
58,65,2022-06-29T06,Promoted
50,39,2023-06-25T04,Joined
27,93,2023-05-01T04,Promoted
52,171,2021-04-20T16,Promoted
44,107,2021-10-10T17,Left
57,38,2022-10-13T07,Promoted
111,78,2021-06-02T18,Joined
122,98,2023-04-14T09,Joined
122,186,2021-01-17T07,Promoted
99,114,2022-01-24T13,Promoted
108,189,2022-05-26T17,Left
38,183,2021-06-11T06,Promoted
49,156,2021-09-02T07,Left
111,12,2023-08-18T07,Joined
49,164,2021-04-18T00,Promoted
52,46,2023-06-09T16,Promoted
12,173,2023-02-17T13,Promoted
40,43,2021-01-22T15,Promoted
79,187,2023-01-05T23,Joined
126,3,2023-08-04T20,Left
136,30,2022-11-08T23,Left
6,174,2022-06-05T04,Left
74,105,2023-07-31T00,Left
76,1,2022-10-05T00,Joined
50,183,2022-07-21T10,Left
58,111,2021-05-25T10,Left
69,157,2021-03-28T06,Left
124,187,2021-04-14T10,Left
118,132,2021-08-20T14,Left
74,25,2023-08-16T02,Promoted
108,24,2021-10-31T21,Promoted
3,22,2022-05-13T18,Left
52,171,2023-09-12T12,Left
52,181,2023-03-21T07,Joined
77,107,2023-06-16T09,Joined
108,173,2021-05-10T07,Joined
58,84,2023-04-10T05,Promoted
131,159,2021-12-27T06,Joined
64,146,2023-05-27T01,Left
60,51,2022-01-21T18,Promoted
107,84,2023-06-20T18,Joined
99,76,2022-12-25T23,Promoted
8,166,2022-10-18T23,Joined
40,51,2021-07-18T07,Promoted
108,14,2022-08-17T12,Joined
76,9,2023-02-21T18,Joined
54,164,2023-02-23T17,Left
106,50,2022-01-25T19,Left
138,137,2021-11-16T23,Joined
96,28,2021-08-31T18,Promoted
58,1,2022-10-14T08,Joined
96,134,2021-11-20T10,Promoted
38,76,2022-02-13T10,Left
27,114,2022-07-17T20,Promoted
74,72,2021-03-27T04,Left
50,25,2023-07-09T15,Left
26,93,2021-06-02T07,Promoted
98,164,2021-11-08T03,Left
104,12,2022-09-08T10,Promoted
49,54,2022-02-05T21,Joined
107,60,2023-07-27T21,Left
6,65,2023-03-16T09,Left
23,112,2022-08-16T04,Left
10,68,2021-08-27T19,Promoted
131,72,2021-10-17T11,Left
13,22,2021-07-19T21,Left
58,153,2022-08-31T21,Joined
129,139,2022-11-20T23,Promoted
64,181,2022-02-17T20,Joined
27,192,2022-06-12T23,Left
63,43,2022-12-29T15,Left
52,28,2022-02-04T22,Promoted
47,192,2022-02-14T18,Left
94,181,2022-03-25T02,Left
99,139,2021-04-29T08,Promoted
138,139,2022-04-29T10,Left
23,176,2022-10-05T11,Joined
104,60,2022-01-24T18,Promoted
126,72,2021-08-15T11,Joined
36,157,2022-05-08T12,Joined
71,176,2023-01-29T06,Promoted
115,1,2023-05-03T12,Promoted
129,25,2022-10-21T02,Promoted
108,87,2022-12-13T05,Left
122,156,2023-03-10T16,Joined
6,132,2023-04-03T07,Joined
87,149,2021-02-09T18,Joined
76,174,2022-05-18T11,Left
76,43,2022-03-12T03,Left
130,84,2022-02-22T11,Promoted
94,156,2022-05-21T04,Joined
74,25,2023-06-21T03,Joined
111,147,2022-11-06T06,Promoted
129,1,2022-06-14T18,Joined
8,112,2023-02-02T22,Joined
124,106,2022-04-26T08,Promoted
136,105,2022-10-27T23,Promoted
38,192,2021-09-18T17,Promoted
5,187,2021-09-28T12,Left
124,181,2022-07-10T20,Left
43,162,2021-06-11T10,Left
76,176,2023-07-15T21,Left
131,24,2022-08-22T22,Joined
63,48,2021-06-22T00,Left
98,156,2023-02-16T11,Left
3,109,2022-07-11T00,Joined
3,149,2021-03-07T03,Left
138,9,2023-01-10T15,Joined
8,147,2021-05-26T20,Left
68,111,2021-03-02T14,Left
107,114,2021-08-12T08,Joined
77,6,2023-07-06T08,Joined
49,68,2021-10-27T06,Left
52,91,2023-09-03T15,Left
98,40,2023-01-13T17,Joined
64,186,2023-04-02T21,Joined
8,112,2022-12-22T22,Joined
57,151,2021-08-01T03,Joined
111,176,2023-06-08T13,Joined
60,118,2021-03-27T07,Joined
64,59,2021-11-07T11,Left
64,173,2021-10-11T10,Left
32,125,2022-06-26T18,Promoted
44,149,2022-02-15T01,Joined
16,153,2022-08-21T13,Joined
111,69,2021-08-13T19,Left
126,13,2022-04-13T03,Joined
108,183,2021-12-16T04,Promoted
119,112,2023-02-16T14,Left
76,181,2021-06-15T14,Promoted
63,164,2022-10-13T00,Joined
64,69,2023-06-05T08,Left
18,63,2022-11-21T13,Promoted
108,195,2023-06-28T03,Promoted
98,35,2022-08-21T23,Promoted
29,41,2023-02-02T15,Promoted
40,72,2023-02-16T21,Promoted
58,14,2022-05-23T07,Left
47,149,2021-08-26T06,Promoted
27,186,2023-07-01T15,Left
91,48,2021-10-24T09,Left
71,174,2021-08-10T20,Left
64,91,2021-09-03T00,Left
5,168,2021-09-03T21,Joined
129,48,2021-06-09T19,Left
26,65,2022-02-02T23,Left
126,6,2022-06-11T16,Joined
36,81,2021-09-16T03,Joined
16,117,2021-02-18T10,Joined
36,181,2022-05-12T09,Promoted
84,38,2021-09-23T06,Promoted
107,22,2022-03-24T01,Left
111,111,2021-03-28T07,Joined
55,6,2021-04-30T03,Joined
99,142,2021-06-05T08,Left
20,46,2022-04-11T10,Left
6,151,2022-07-02T17,Joined
113,91,2022-09-09T12,Promoted
12,12,2021-12-09T05,Left
91,76,2023-02-08T07,Left
97,157,2023-02-20T08,Joined
122,164,2022-03-02T13,Promoted
138,57,2021-10-27T16,Joined
3,33,2021-01-11T03,Joined
87,132,2023-01-30T20,Joined
131,100,2022-06-22T21,Left
20,19,2022-11-30T08,Promoted
124,13,2022-05-17T23,Left
121,186,2022-11-19T18,Promoted
43,137,2021-03-10T15,Joined
96,109,2021-12-18T08,Promoted
104,75,2022-06-17T18,Joined
89,83,2022-01-09T07,Joined
87,173,2021-09-14T05,Left
81,24,2022-09-16T23,Promoted
74,38,2022-12-15T14,Left
77,103,2022-01-25T14,Left
58,38,2022-05-29T09,Joined
89,146,2022-08-24T08,Joined
50,51,2023-03-01T09,Promoted
89,48,2021-02-20T18,Left
133,149,2021-09-08T00,Joined
60,24,2021-10-10T13,Left
3,106,2021-12-09T00,Promoted
26,173,2022-05-02T12,Left
20,3,2021-11-17T00,Joined
55,173,2023-03-09T22,Promoted
63,50,2023-01-13T02,Left
129,50,2022-06-18T05,Promoted
68,8,2021-11-24T09,Promoted
89,164,2022-09-04T11,Left
136,9,2023-05-10T15,Joined
107,179,2022-03-12T19,Promoted
108,146,2022-05-02T03,Joined
113,75,2021-10-19T09,Left
113,50,2022-08-17T18,Promoted
76,93,2021-10-30T04,Joined
49,91,2023-05-11T00,Left
87,186,2021-06-05T08,Left
57,168,2021-10-30T00,Joined
68,149,2021-09-22T08,Joined
81,93,2023-05-20T19,Left
104,107,2021-07-01T14,Joined
49,103,2021-05-15T19,Promoted
43,84,2023-05-11T17,Joined
40,125,2023-05-29T19,Promoted
138,38,2023-06-13T22,Joined
37,35,2022-08-30T23,Joined
16,192,2021-11-11T06,Promoted
57,181,2021-08-12T22,Left
136,6,2023-08-14T17,Joined
71,46,2021-05-10T17,Joined
113,87,2021-02-02T04,Left
58,137,2021-01-17T01,Left
27,48,2021-06-13T09,Left
66,171,2021-07-12T17,Joined
8,87,2022-11-28T22,Promoted
118,50,2023-05-04T22,Left
107,149,2021-07-10T19,Joined
99,121,2021-03-08T21,Joined
64,98,2022-09-24T16,Joined
122,9,2023-09-05T19,Left
134,63,2022-03-11T18,Promoted
77,6,2021-09-21T17,Promoted
74,43,2023-03-25T10,Left
53,72,2023-05-15T05,Left
13,25,2022-01-05T20,Joined
36,164,2023-07-22T17,Left
138,30,2023-04-20T10,Promoted
99,46,2023-09-10T00,Left
121,168,2022-04-06T00,Joined
91,87,2021-09-01T05,Joined
91,187,2022-09-10T08,Joined
22,137,2023-07-01T02,Promoted
115,22,2021-02-03T04,Promoted
47,12,2023-08-26T00,Joined
47,48,2021-03-19T19,Left
33,109,2021-08-16T19,Left
134,59,2022-08-22T05,Left
44,89,2022-12-22T09,Joined
52,103,2023-07-19T12,Joined
58,179,2023-02-16T22,Promoted
91,33,2022-02-24T19,Left
107,59,2021-01-08T11,Joined
91,151,2021-02-15T16,Joined
43,192,2021-02-01T04,Promoted
20,1,2022-06-16T06,Left
18,173,2023-08-19T19,Joined
37,109,2022-01-20T07,Promoted
99,147,2023-05-16T20,Left
108,179,2022-11-19T02,Promoted
74,30,2021-09-30T09,Promoted
57,118,2023-08-04T20,Left
12,60,2022-12-31T17,Left
66,95,2021-05-12T14,Joined
91,75,2021-11-09T02,Joined
136,123,2021-04-18T02,Left
79,81,2021-09-10T04,Joined
64,132,2022-04-19T20,Joined
91,183,2022-02-13T09,Promoted
60,60,2021-09-14T10,Left
47,189,2021-09-24T22,Left
87,125,2023-02-05T03,Promoted
10,60,2022-05-30T21,Left
126,171,2022-02-06T10,Left
136,195,2021-02-21T11,Left
113,100,2022-09-27T02,Promoted
87,51,2022-07-14T21,Left
131,89,2021-09-09T18,Joined
43,128,2023-08-10T05,Left
139,100,2022-12-22T19,Promoted
98,83,2022-06-29T04,Joined
57,145,2022-10-21T21,Promoted
8,51,2021-01-19T00,Promoted
29,1,2022-08-26T03,Left
6,149,2022-11-28T13,Left
111,81,2021-03-12T02,Promoted
118,128,2022-03-09T22,Joined
60,109,2022-10-26T16,Promoted
37,162,2023-04-14T07,Promoted
91,174,2021-03-17T11,Left
5,60,2022-02-08T12,Joined
136,83,2021-12-11T07,Promoted
53,112,2022-05-04T04,Promoted
94,121,2021-08-23T02,Joined
121,189,2023-02-13T03,Promoted
134,107,2021-09-13T02,Promoted
74,157,2021-11-10T10,Left
37,187,2023-05-13T22,Promoted
44,59,2021-06-05T09,Left
84,157,2022-04-20T16,Left
81,24,2023-06-05T17,Promoted
10,25,2023-05-27T14,Promoted
27,72,2023-08-19T16,Left
23,174,2022-12-04T07,Promoted
36,19,2022-02-09T09,Joined
101,57,2021-08-10T23,Joined
77,112,2023-04-27T07,Left
50,50,2021-09-17T05,Joined
53,68,2023-04-21T13,Joined
136,164,2023-03-12T11,Promoted
134,179,2021-04-16T10,Joined
52,12,2023-07-01T19,Promoted
6,179,2021-12-11T23,Joined
64,157,2021-10-10T09,Promoted
118,60,2021-11-03T05,Joined
64,16,2022-04-23T20,Promoted
18,33,2022-07-10T06,Left
64,179,2021-02-13T06,Promoted
134,100,2021-04-30T01,Promoted
76,125,2022-08-30T08,Promoted
138,24,2021-06-27T16,Left
77,156,2021-07-22T06,Joined
81,43,2021-11-02T21,Joined
57,153,2022-04-15T07,Left
121,128,2021-12-21T02,Promoted
66,95,2023-09-05T04,Joined
22,166,2022-10-13T13,Joined
94,176,2022-05-31T21,Promoted
64,134,2021-12-16T21,Promoted
96,8,2021-01-10T02,Joined
74,12,2022-12-10T12,Promoted
50,195,2023-06-12T03,Left
74,24,2021-01-24T12,Joined
108,43,2023-09-10T05,Left
49,14,2021-02-27T05,Joined
129,137,2023-08-02T21,Promoted
139,156,2021-08-15T02,Left
107,33,2023-08-23T01,Joined
84,161,2021-09-30T13,Left
104,186,2023-05-25T22,Joined
52,118,2021-06-30T18,Left
32,83,2023-08-02T11,Joined
121,109,2023-04-22T02,Promoted
10,159,2021-09-26T21,Promoted
8,153,2023-04-27T16,Left
63,109,2023-06-24T16,Left
84,3,2021-08-18T13,Left
111,54,2022-10-30T10,Joined
118,14,2022-10-20T17,Joined
3,76,2021-02-23T07,Joined
16,149,2022-03-11T17,Joined
52,171,2021-06-17T09,Promoted
119,132,2021-07-18T18,Left
22,12,2022-03-24T01,Left
40,166,2022-12-03T03,Left
23,30,2021-10-26T08,Promoted
122,100,2022-06-10T17,Promoted
16,164,2023-04-10T12,Joined
79,112,2023-06-12T19,Left
81,98,2023-06-12T11,Joined
79,181,2021-04-16T14,Left
104,149,2021-11-01T01,Left
55,91,2022-12-12T10,Joined
126,128,2023-03-05T14,Promoted
60,72,2021-11-14T18,Promoted
63,173,2021-02-21T04,Left
16,176,2023-01-16T13,Joined
57,153,2022-03-17T13,Promoted
126,147,2022-11-20T12,Left
129,72,2022-01-25T15,Left
23,173,2022-07-12T03,Joined
94,171,2021-07-27T09,Left
126,81,2021-12-05T12,Promoted
10,103,2022-04-19T14,Promoted
111,123,2022-10-16T11,Joined
40,146,2022-03-22T22,Promoted
40,8,2022-08-01T04,Left
16,19,2021-03-11T12,Joined
5,151,2022-02-01T10,Left
6,98,2022-10-01T03,Left
97,51,2021-09-12T21,Joined
37,121,2022-11-23T19,Joined
115,41,2021-06-04T09,Promoted
20,128,2023-04-28T18,Promoted
87,100,2021-02-15T03,Promoted
108,24,2021-07-03T05,Joined
98,107,2021-04-08T18,Promoted
139,75,2023-02-01T02,Promoted
81,103,2022-01-05T13,Promoted
97,22,2022-08-06T11,Joined
139,75,2023-02-19T12,Promoted
108,25,2023-07-11T13,Left
74,84,2023-05-22T12,Left
119,111,2023-01-13T22,Promoted
27,75,2021-06-12T05,Promoted
139,164,2021-01-02T08,Promoted
47,87,2021-07-24T01,Left
115,87,2022-12-29T22,Promoted
64,195,2023-06-02T23,Promoted
119,134,2022-04-19T14,Promoted
6,137,2022-09-10T16,Promoted
32,157,2022-06-16T17,Left
77,30,2021-11-10T04,Left
97,59,2021-11-24T03,Joined
53,33,2022-08-02T07,Joined
53,111,2021-11-01T01,Joined
50,25,2022-10-29T05,Left
55,149,2021-12-15T19,Left
50,98,2023-08-21T07,Promoted
134,83,2023-07-14T03,Left
43,153,2022-09-13T14,Joined
139,38,2022-05-04T22,Promoted
50,168,2021-11-25T06,Joined
20,76,2022-12-08T16,Promoted
94,84,2021-10-19T05,Joined
98,189,2021-12-03T21,Joined
37,173,2022-04-19T05,Joined
91,13,2021-03-20T02,Promoted
121,63,2021-12-18T08,Joined
29,189,2022-12-27T09,Promoted
33,183,2022-05-21T04,Joined
63,100,2021-02-21T22,Joined
29,72,2022-05-07T09,Joined
138,176,2023-09-07T05,Joined
66,39,2023-03-05T03,Left
115,174,2022-04-08T16,Left
130,72,2022-07-12T06,Left
20,111,2021-09-02T01,Promoted
77,78,2022-02-11T12,Joined
130,168,2022-07-23T12,Left
91,161,2021-01-16T07,Joined
138,161,2022-07-15T23,Joined
106,19,2021-02-19T05,Promoted
16,153,2022-08-26T10,Joined
71,84,2022-06-25T18,Promoted
8,137,2021-12-21T16,Promoted
49,69,2021-07-29T21,Left
33,83,2021-01-30T17,Promoted
69,63,2023-09-14T02,Joined
113,22,2021-12-15T18,Promoted
79,162,2022-12-30T23,Left
54,192,2021-03-01T17,Left
84,111,2021-07-15T13,Joined
131,106,2023-05-31T01,Promoted
106,12,2022-08-21T23,Left
20,114,2021-07-11T19,Left
107,81,2022-03-31T17,Left
6,84,2021-04-27T14,Promoted
111,16,2022-03-13T22,Joined
81,51,2021-08-07T06,Joined
33,8,2023-05-25T15,Left
3,39,2023-04-01T23,Left
10,156,2021-12-20T07,Joined
66,18,2023-07-28T15,Promoted
60,68,2021-09-13T02,Promoted
74,157,2023-05-17T18,Joined
98,93,2022-05-12T13,Left
13,107,2023-08-11T23,Left
130,118,2022-06-06T08,Left
94,151,2021-12-24T05,Left
60,3,2022-07-22T13,Left
47,145,2021-02-13T13,Promoted
22,65,2022-04-17T11,Joined
119,22,2023-09-09T11,Left
63,89,2023-01-26T04,Joined
84,105,2022-02-21T21,Promoted
12,89,2022-11-22T04,Left
118,189,2021-04-06T22,Joined
133,181,2023-05-21T20,Joined
79,107,2021-10-18T04,Left
63,16,2021-08-26T15,Left
108,157,2023-01-15T12,Promoted
3,95,2022-05-02T10,Joined
18,98,2022-06-23T04,Promoted
16,41,2021-03-14T07,Promoted
77,114,2021-04-22T05,Promoted
37,43,2022-02-25T20,Joined
139,130,2022-08-28T13,Left
79,84,2021-05-16T08,Promoted
60,100,2021-11-21T08,Promoted
130,50,2021-03-26T12,Joined
138,186,2023-03-25T17,Promoted
22,179,2023-06-05T07,Left
129,54,2023-03-11T04,Promoted
52,48,2022-04-07T04,Promoted
16,95,2021-08-12T05,Promoted
27,9,2021-12-06T11,Left
54,30,2022-11-03T20,Left
43,43,2022-09-17T02,Joined
6,153,2021-08-19T16,Joined
26,134,2022-06-17T09,Promoted
107,89,2021-06-29T21,Promoted
32,3,2022-03-01T14,Joined
133,89,2021-06-18T14,Left
74,91,2023-07-04T11,Promoted
108,6,2021-09-10T13,Promoted
36,25,2021-03-03T22,Joined
50,89,2023-03-10T03,Joined
107,6,2023-08-07T01,Promoted
23,147,2023-01-19T20,Promoted
58,76,2022-09-05T02,Joined
91,109,2021-12-29T05,Left
68,24,2021-08-30T23,Promoted
98,63,2022-03-20T04,Joined
68,43,2022-10-18T00,Joined
53,112,2022-05-18T09,Left
115,156,2023-08-10T14,Left
54,151,2022-01-19T16,Left
37,146,2022-05-22T21,Promoted
69,13,2021-09-29T23,Promoted
3,22,2023-08-31T07,Promoted
115,159,2022-03-08T20,Promoted
49,192,2023-04-29T16,Promoted
37,162,2021-07-05T14,Promoted
40,149,2021-05-31T22,Promoted
96,186,2021-10-25T04,Promoted
99,146,2023-05-30T07,Joined
124,59,2021-02-10T06,Promoted
84,145,2023-07-15T03,Promoted
43,9,2021-11-09T06,Left
16,149,2022-11-23T02,Promoted
54,171,2022-10-24T14,Joined
53,57,2022-07-23T06,Joined
